TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
cel01100	Metabolic pathways	0.000203548202228731	-8.4996077151411	792	21	0.583333333333333	36	2735	174768,172408,177984,172556,176569,173466,176842,172438,175012,179850,172939,175820,172715,172454,177852,173963,180400,180583,177775,178130,181223	F54D5.7,ahcy-1,pyk-2,pck-2,dpy-18,acdh-9,aass-1,nuo-6,C31C9.2,F53F4.10,ndk-1,alh-9,fasn-1,fecl-1,dhp-2,C25H3.9,aagr-4,pfk-1.1,idh-1,gdh-1,W07E11.1
ko01230	Biosynthesis of amino acids	0.000260199181782653	-8.25406313646171	71	6	0.166666666666667	36	2735	175820,180583,177984,177775,181223,175012	alh-9,pfk-1.1,pyk-2,idh-1,W07E11.1,C31C9.2
cel01230	Biosynthesis of amino acids	0.000260199181782653	-8.25406313646171	71	6	0.166666666666667	36	2735	177775,175012,181223,180583,177984,175820	idh-1,C31C9.2,W07E11.1,pfk-1.1,pyk-2,alh-9
cel00010	Glycolysis / Gluconeogenesis	0.00198293568776128	-6.22317686175997	42	4	0.111111111111111	36	2735	175820,180583,177984,172556	alh-9,pfk-1.1,pyk-2,pck-2
ko00010	Glycolysis / Gluconeogenesis	0.00198293568776128	-6.22317686175997	42	4	0.111111111111111	36	2735	172556,177984,180583,175820	pck-2,pyk-2,pfk-1.1,alh-9
cel_M00050	Guanine ribonucleotide biosynthesis IMP => GDP,GTP	0.00339451333143039	-5.68559487686826	7	2	0.0555555555555556	36	2735	177984,172939	pyk-2,ndk-1
M00050	Guanine ribonucleotide biosynthesis IMP => GDP,GTP	0.00339451333143039	-5.68559487686826	7	2	0.0555555555555556	36	2735	172939,177984	ndk-1,pyk-2
ko00620	Pyruvate metabolism	0.00547501963116177	-5.20755941768568	28	3	0.0833333333333333	36	2735	172556,175820,177984	pck-2,alh-9,pyk-2
cel00620	Pyruvate metabolism	0.00547501963116177	-5.20755941768568	28	3	0.0833333333333333	36	2735	177984,175820,172556	pyk-2,alh-9,pck-2
cel_M00049	Adenine ribonucleotide biosynthesis, IMP => ADP,ATP	0.00709530264568406	-4.94832231308762	10	2	0.0555555555555556	36	2735	172939,177984	ndk-1,pyk-2
M00049	Adenine ribonucleotide biosynthesis, IMP => ADP,ATP	0.00709530264568406	-4.94832231308762	10	2	0.0555555555555556	36	2735	177984,172939	pyk-2,ndk-1
ko00910	Nitrogen metabolism	0.0102356834732704	-4.58187528405541	12	2	0.0555555555555556	36	2735	178130,181223	gdh-1,W07E11.1
cel00910	Nitrogen metabolism	0.0102356834732704	-4.58187528405541	12	2	0.0555555555555556	36	2735	181223,178130	W07E11.1,gdh-1
ko00770	Pantothenate and CoA biosynthesis	0.0102356834732704	-4.58187528405541	12	2	0.0555555555555556	36	2735	180425,177852	T04G9.4,dhp-2
cel00770	Pantothenate and CoA biosynthesis	0.0102356834732704	-4.58187528405541	12	2	0.0555555555555556	36	2735	177852,180425	dhp-2,T04G9.4
