TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
GO:0010556	regulation of macromolecule biosynthetic process	1.87309851763999e-07	-15.4905016300329	1073	45	0.257142857142857	175	9166	173252,179365,181369,174261,174477,180860,178412,178478,187229,181491,171679,178696,3565977,181578,180009,172233,176829,180479,180522,260198,177099,178401,179403,175546,171617,173338,178685,171895,175054,180505,177350,177249,189970,3565873,190308,174585,173435,177618,181661,181773,174874,177839,180842,185483,175080	W04A8.1,drap-1,lsd-1,cki-2,D2013.6,mig-23,ccch-5,Y116A8C.20,set-12,nhr-71,hmbx-1,nhr-13,rde-11,mbk-1,sdc-3,unc-40,daf-1,zfp-3,lsy-2,taf-11.3,zip-11,Y57G11C.9,nhr-12,nhr-20,ztf-3,hmp-2,nhr-86,fog-1,daf-5,ceh-39,nhr-46,eor-1,nhr-237,lsy-12,egrh-2,ref-1,nfyb-1,nhr-66,nhr-48,fubl-3,sop-2,nhr-4,tag-294,nhr-181,jmjd-2
GO:0031326	regulation of cellular biosynthetic process	2.52084230051784e-07	-15.1935025590456	1084	45	0.257142857142857	175	9166	180522,260198,178401,177099,175546,179403,181491,187229,181578,3565977,171679,178696,180009,180479,176829,172233,178412,178478,174477,179365,181369,174261,173252,180860,180842,185483,175080,181773,181661,177618,174874,177839,190308,189970,177249,3565873,173435,174585,171895,178685,171617,173338,175054,177350,180505	lsy-2,taf-11.3,Y57G11C.9,zip-11,nhr-20,nhr-12,nhr-71,set-12,mbk-1,rde-11,hmbx-1,nhr-13,sdc-3,zfp-3,daf-1,unc-40,ccch-5,Y116A8C.20,D2013.6,drap-1,lsd-1,cki-2,W04A8.1,mig-23,tag-294,nhr-181,jmjd-2,fubl-3,nhr-48,nhr-66,sop-2,nhr-4,egrh-2,nhr-237,eor-1,lsy-12,nfyb-1,ref-1,fog-1,nhr-86,ztf-3,hmp-2,daf-5,nhr-46,ceh-39
GO:0009889	regulation of biosynthetic process	2.88039646237855e-07	-15.0601677057367	1089	45	0.257142857142857	175	9166	177839,174874,181661,181773,177618,175080,185483,180842,177350,180505,175054,171895,178685,171617,173338,173435,174585,190308,177249,3565873,189970,180479,176829,172233,180009,181578,178696,171679,3565977,187229,181491,175546,179403,178401,177099,260198,180522,180860,174477,174261,179365,181369,173252,178478,178412	nhr-4,sop-2,nhr-48,fubl-3,nhr-66,jmjd-2,nhr-181,tag-294,nhr-46,ceh-39,daf-5,fog-1,nhr-86,ztf-3,hmp-2,nfyb-1,ref-1,egrh-2,eor-1,lsy-12,nhr-237,zfp-3,daf-1,unc-40,sdc-3,mbk-1,nhr-13,hmbx-1,rde-11,set-12,nhr-71,nhr-20,nhr-12,Y57G11C.9,zip-11,taf-11.3,lsy-2,mig-23,D2013.6,cki-2,drap-1,lsd-1,W04A8.1,Y116A8C.20,ccch-5
GO:0051252	regulation of RNA metabolic process	3.40658835955265e-07	-14.8923843415477	1021	43	0.245714285714286	175	9166	178478,178412,179365,173401,181369,173252,174477,179403,175546,177099,178401,260198,180522,176829,172233,180479,180009,178696,171679,181578,187229,181491,174585,173435,189970,177249,3565873,190308,180505,177350,175054,171617,173338,174747,178685,175080,185483,180842,177839,174874,177618,181661,181773	Y116A8C.20,ccch-5,drap-1,etr-1,lsd-1,W04A8.1,D2013.6,nhr-12,nhr-20,zip-11,Y57G11C.9,taf-11.3,lsy-2,daf-1,unc-40,zfp-3,sdc-3,nhr-13,hmbx-1,mbk-1,set-12,nhr-71,ref-1,nfyb-1,nhr-237,eor-1,lsy-12,egrh-2,ceh-39,nhr-46,daf-5,ztf-3,hmp-2,rsp-2,nhr-86,jmjd-2,nhr-181,tag-294,nhr-4,sop-2,nhr-66,nhr-48,fubl-3
GO:0019219	regulation of nucleobase-containing compound metabolic process	6.82554943644936e-07	-14.1974228096185	1047	43	0.245714285714286	175	9166	180479,172233,176829,180009,181578,178696,171679,187229,181491,175546,179403,178401,177099,260198,180522,174477,173252,181369,179365,173401,178478,178412,177839,174874,181661,181773,177618,175080,185483,180842,177350,180505,175054,178685,171617,173338,174747,173435,174585,190308,177249,3565873,189970	zfp-3,unc-40,daf-1,sdc-3,mbk-1,nhr-13,hmbx-1,set-12,nhr-71,nhr-20,nhr-12,Y57G11C.9,zip-11,taf-11.3,lsy-2,D2013.6,W04A8.1,lsd-1,drap-1,etr-1,Y116A8C.20,ccch-5,nhr-4,sop-2,nhr-48,fubl-3,nhr-66,jmjd-2,nhr-181,tag-294,nhr-46,ceh-39,daf-5,nhr-86,ztf-3,hmp-2,rsp-2,nfyb-1,ref-1,egrh-2,eor-1,lsy-12,nhr-237
GO:0051171	regulation of nitrogen compound metabolic process	1.47631118398992e-06	-13.4259640247459	1430	52	0.297142857142857	175	9166	178412,177102,178478,174966,181362,181369,173401,174261,179365,173252,174477,180860,174884,260198,180522,179403,175546,177099,178401,3565977,171679,178696,181578,181491,187229,172842,172233,176829,180479,180009,3565873,177249,189970,190308,174585,173435,173338,171617,174747,171895,178685,177350,180505,175054,180842,175080,185483,177618,181773,181661,177839,174874	ccch-5,elks-1,Y116A8C.20,F15D4.2,mes-1,lsd-1,etr-1,cki-2,drap-1,W04A8.1,D2013.6,mig-23,tag-281,taf-11.3,lsy-2,nhr-12,nhr-20,zip-11,Y57G11C.9,rde-11,hmbx-1,nhr-13,mbk-1,nhr-71,set-12,mom-4,unc-40,daf-1,zfp-3,sdc-3,lsy-12,eor-1,nhr-237,egrh-2,ref-1,nfyb-1,hmp-2,ztf-3,rsp-2,fog-1,nhr-86,nhr-46,ceh-39,daf-5,tag-294,jmjd-2,nhr-181,nhr-66,fubl-3,nhr-48,nhr-4,sop-2
GO:2000112	regulation of cellular macromolecule biosynthetic process	1.97427793052131e-06	-13.1353078312603	1051	42	0.24	175	9166	181491,187229,3565977,178696,171679,181578,180009,172233,176829,180479,180522,177099,178401,179403,175546,181369,173252,174261,180860,178412,178478,177618,181773,181661,174874,177839,180842,185483,175080,171617,173338,178685,171895,175054,180505,177350,189970,3565873,177249,190308,174585,173435	nhr-71,set-12,rde-11,nhr-13,hmbx-1,mbk-1,sdc-3,unc-40,daf-1,zfp-3,lsy-2,zip-11,Y57G11C.9,nhr-12,nhr-20,lsd-1,W04A8.1,cki-2,mig-23,ccch-5,Y116A8C.20,nhr-66,fubl-3,nhr-48,sop-2,nhr-4,tag-294,nhr-181,jmjd-2,ztf-3,hmp-2,nhr-86,fog-1,daf-5,ceh-39,nhr-46,nhr-237,lsy-12,eor-1,egrh-2,ref-1,nfyb-1
GO:0031323	regulation of cellular metabolic process	2.08828663816224e-06	-13.0791666185524	1487	53	0.302857142857143	175	9166	180505,177350,175054,173338,174747,171617,178685,171895,174585,173435,177249,3565873,189970,190308,177839,174874,177618,181773,181661,175080,185483,180842,180860,181362,179365,173401,181369,174261,173252,174477,178478,174966,178412,177102,181626,176829,172233,180479,180009,178696,171679,3565977,181578,181491,187229,172842,179403,175546,177099,178401,174884,260198,180522	ceh-39,nhr-46,daf-5,hmp-2,rsp-2,ztf-3,nhr-86,fog-1,ref-1,nfyb-1,eor-1,lsy-12,nhr-237,egrh-2,nhr-4,sop-2,nhr-66,fubl-3,nhr-48,jmjd-2,nhr-181,tag-294,mig-23,mes-1,drap-1,etr-1,lsd-1,cki-2,W04A8.1,D2013.6,Y116A8C.20,F15D4.2,ccch-5,elks-1,C33A11.2,daf-1,unc-40,zfp-3,sdc-3,nhr-13,hmbx-1,rde-11,mbk-1,nhr-71,set-12,mom-4,nhr-12,nhr-20,zip-11,Y57G11C.9,tag-281,taf-11.3,lsy-2
GO:0080090	regulation of primary metabolic process	2.16753967716263e-06	-13.0419178229632	1448	52	0.297142857142857	175	9166	178696,171679,3565977,181578,181491,187229,172842,176829,172233,180479,180009,174884,260198,180522,179403,175546,177099,178401,181362,181369,179365,174261,173401,173252,174477,180860,178412,177102,178478,174966,177618,181773,181661,177839,174874,180842,175080,185483,171617,174747,173338,171895,178685,177350,180505,175054,189970,3565873,177249,190308,174585,173435	nhr-13,hmbx-1,rde-11,mbk-1,nhr-71,set-12,mom-4,daf-1,unc-40,zfp-3,sdc-3,tag-281,taf-11.3,lsy-2,nhr-12,nhr-20,zip-11,Y57G11C.9,mes-1,lsd-1,drap-1,cki-2,etr-1,W04A8.1,D2013.6,mig-23,ccch-5,elks-1,Y116A8C.20,F15D4.2,nhr-66,fubl-3,nhr-48,nhr-4,sop-2,tag-294,jmjd-2,nhr-181,ztf-3,rsp-2,hmp-2,fog-1,nhr-86,nhr-46,ceh-39,daf-5,nhr-237,lsy-12,eor-1,egrh-2,ref-1,nfyb-1
GO:1903506	regulation of nucleic acid-templated transcription	2.37627961312321e-06	-12.949974481097	946	39	0.222857142857143	175	9166	180522,260198,178401,177099,175546,179403,181491,187229,181578,178696,171679,180009,180479,172233,176829,174477,173252,181369,179365,180842,185483,175080,181661,181773,177618,174874,177839,190308,177249,3565873,189970,173435,174585,178685,173338,171617,175054,177350,180505	lsy-2,taf-11.3,Y57G11C.9,zip-11,nhr-20,nhr-12,nhr-71,set-12,mbk-1,nhr-13,hmbx-1,sdc-3,zfp-3,unc-40,daf-1,D2013.6,W04A8.1,lsd-1,drap-1,tag-294,nhr-181,jmjd-2,nhr-48,fubl-3,nhr-66,sop-2,nhr-4,egrh-2,eor-1,lsy-12,nhr-237,nfyb-1,ref-1,nhr-86,hmp-2,ztf-3,daf-5,nhr-46,ceh-39
GO:2001141	regulation of RNA biosynthetic process	2.37627961312321e-06	-12.949974481097	946	39	0.222857142857143	175	9166	187229,181491,181578,178696,171679,180009,180479,172233,176829,180522,260198,178401,177099,175546,179403,174477,181369,173252,179365,181773,181661,177618,174874,177839,180842,185483,175080,178685,171617,173338,175054,177350,180505,190308,3565873,177249,189970,173435,174585	set-12,nhr-71,mbk-1,nhr-13,hmbx-1,sdc-3,zfp-3,unc-40,daf-1,lsy-2,taf-11.3,Y57G11C.9,zip-11,nhr-20,nhr-12,D2013.6,lsd-1,W04A8.1,drap-1,fubl-3,nhr-48,nhr-66,sop-2,nhr-4,tag-294,nhr-181,jmjd-2,nhr-86,ztf-3,hmp-2,daf-5,nhr-46,ceh-39,egrh-2,lsy-12,eor-1,nhr-237,nfyb-1,ref-1
