TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
PS50052	GUANYLATE_KINASE_2	0.000465649774358593	-7.6720767635697	8	3	0.0204081632653061	147	7024	171963,178107,173316	guk-1,magi-1,zoo-1
PS50102	RRM	0.00104375557804068	-6.8649299375829	99	8	0.054421768707483	147	7024	176827,259546,173919,171895,173401,172064,178401,174747	grld-1,drr-2,EEED8.10,fog-1,etr-1,nrd-1,Y57G11C.9,rsp-2
PS50176	ARM_REPEAT	0.00253912403864112	-5.9759361241086	4	2	0.0136054421768707	147	7024	178451,173338	jac-1,hmp-2
PS50934	SWIRM	0.00253912403864112	-5.9759361241086	4	2	0.0136054421768707	147	7024	175493,181369	amx-1,lsd-1
PS50090	MYB_LIKE	0.00417380759924174	-5.47892656644422	5	2	0.0136054421768707	147	7024	176145,176241	gei-8,F54F2.9
PS00031	NUCLEAR_REC_DBD_1	0.00489862253720331	-5.31880122824221	183	10	0.0680272108843537	147	7024	178696,177839,175546,181661,181491,189970,179403,177350,178685,177618	nhr-13,nhr-4,nhr-20,nhr-48,nhr-71,nhr-237,nhr-12,nhr-46,nhr-86,nhr-66
PS51391	CID	0.00617494999773956	-5.08725449403294	6	2	0.0136054421768707	147	7024	172064,246008	nrd-1,pcf-11
PS00856	GUANYLATE_KINASE_1	0.00852670577496898	-4.76455218492262	7	2	0.0136054421768707	147	7024	171963,178107	guk-1,magi-1
PS50089	ZF_RING_2	0.010868638761326	-4.52187381463967	145	8	0.054421768707483	147	7024	174573,176306,172764,181600,174939,182681,3565977,174661	ZK945.4,T02C1.2,F16A11.1,C18B12.4,Y38F1A.2,rnf-121,rde-11,vps-11
PS51293	SANT	0.0175345423835514	-4.04358249304725	10	2	0.0136054421768707	147	7024	176241,176145	F54F2.9,gei-8
