TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
GO:0043292	contractile fiber	2.35841711738207e-33	-75.1273173877683	160	36	0.214285714285714	168	11604	171736,178135,173613,177514,185685,181123,179272,182228,177701,172722,181784,173301,179972,175831,175175,171990,181329,179292,180827,3565712,177482,181020,180460,172397,179328,176848,175504,180631,175847,179676,171986,179216,176240,181029,178740,181062	tln-1,unc-22,sup-9,unc-82,F42H10.3,zig-12,unc-23,C04F12.8,alp-1,F36F2.1,sup-10,unc-95,unc-112,pxl-1,pat-4,unc-89,tni-1,F21C10.7,unc-97,lim-9,deb-1,unc-98,pfn-3,unc-87,gsnl-1,pat-6,pat-3,unc-78,mlp-1,myo-3,cpn-3,tmd-2,pat-2,stn-2,ketn-1,dim-1
GO:0030016	myofibril	5.68569145441846e-32	-71.944770228137	100	30	0.178571428571429	168	11604	180827,179292,181329,171990,175175,175831,179972,180631,175504,176848,178135,171736,172397,181020,3565712,179272,181123,176240,177514,179216,171986,175847,179676,181062,173301,178740,177701,172722,182228,181029	unc-97,F21C10.7,tni-1,unc-89,pat-4,pxl-1,unc-112,unc-78,pat-3,pat-6,unc-22,tln-1,unc-87,unc-98,lim-9,unc-23,zig-12,pat-2,unc-82,tmd-2,cpn-3,mlp-1,myo-3,dim-1,unc-95,ketn-1,alp-1,F36F2.1,C04F12.8,stn-2
GO:0044449	contractile fiber part	1.53940156459956e-30	-68.6461590433341	147	33	0.196428571428571	168	11604	182228,177701,181784,172722,173301,173613,185685,177514,181123,179272,171736,178135,181029,178740,181062,179676,175847,176240,180460,172397,177482,3565712,181020,179328,175504,176848,179972,175831,181329,175175,171990,180827,179292	C04F12.8,alp-1,sup-10,F36F2.1,unc-95,sup-9,F42H10.3,unc-82,zig-12,unc-23,tln-1,unc-22,stn-2,ketn-1,dim-1,myo-3,mlp-1,pat-2,pfn-3,unc-87,deb-1,lim-9,unc-98,gsnl-1,pat-3,pat-6,unc-112,pxl-1,tni-1,pat-4,unc-89,unc-97,F21C10.7
GO:0030017	sarcomere	1.58519099648129e-28	-64.011677701252	92	27	0.160714285714286	168	11604	3565712,181020,172397,176848,175504,171736,178135,175831,179972,179292,180827,171990,175175,181329,182228,181029,173301,181062,177701,172722,178740,179676,175847,181123,179272,177514,176240	lim-9,unc-98,unc-87,pat-6,pat-3,tln-1,unc-22,pxl-1,unc-112,F21C10.7,unc-97,unc-89,pat-4,tni-1,C04F12.8,stn-2,unc-95,dim-1,alp-1,F36F2.1,ketn-1,myo-3,mlp-1,zig-12,unc-23,unc-82,pat-2
GO:0099512	supramolecular fiber	1.67108108143305e-28	-63.9589118326964	306	41	0.244047619047619	168	11604	182228,181784,172722,177701,173301,173613,185685,177514,179272,181123,171736,178135,180358,173058,181029,173976,178740,181062,175847,181196,179676,179216,171986,176240,172397,180460,177482,181020,3565712,179328,180631,175504,176848,181698,179972,175831,181329,171990,175175,180827,179292	C04F12.8,sup-10,F36F2.1,alp-1,unc-95,sup-9,F42H10.3,unc-82,unc-23,zig-12,tln-1,unc-22,elp-1,vab-10,stn-2,ifb-1,ketn-1,dim-1,mlp-1,ipla-2,myo-3,tmd-2,cpn-3,pat-2,unc-87,pfn-3,deb-1,unc-98,lim-9,gsnl-1,unc-78,pat-3,pat-6,mua-6,unc-112,pxl-1,tni-1,unc-89,pat-4,unc-97,F21C10.7
GO:0099081	supramolecular polymer	2.17636742902748e-28	-63.6947254338424	308	41	0.244047619047619	168	11604	171736,178135,180358,173058,182228,173301,177701,181784,172722,173613,179272,181123,185685,177514,180460,172397,177482,3565712,181020,175504,180631,176848,179328,175831,181698,179972,180827,179292,181329,171990,175175,173976,181029,181062,178740,179216,171986,175847,181196,179676,176240	tln-1,unc-22,elp-1,vab-10,C04F12.8,unc-95,alp-1,sup-10,F36F2.1,sup-9,unc-23,zig-12,F42H10.3,unc-82,pfn-3,unc-87,deb-1,lim-9,unc-98,pat-3,unc-78,pat-6,gsnl-1,pxl-1,mua-6,unc-112,unc-97,F21C10.7,tni-1,unc-89,pat-4,ifb-1,stn-2,dim-1,ketn-1,tmd-2,cpn-3,mlp-1,ipla-2,myo-3,pat-2
GO:0099080	supramolecular complex	4.17649829571427e-28	-63.0429094366851	313	41	0.244047619047619	168	11604	179292,180827,175175,171990,181329,175831,179972,181698,176848,175504,180631,179328,177482,3565712,181020,180460,172397,176240,171986,179216,175847,179676,181196,181062,178740,181029,173976,173058,180358,178135,171736,179272,181123,177514,185685,173613,173301,181784,172722,177701,182228	F21C10.7,unc-97,pat-4,unc-89,tni-1,pxl-1,unc-112,mua-6,pat-6,pat-3,unc-78,gsnl-1,deb-1,lim-9,unc-98,pfn-3,unc-87,pat-2,cpn-3,tmd-2,mlp-1,myo-3,ipla-2,dim-1,ketn-1,stn-2,ifb-1,vab-10,elp-1,unc-22,tln-1,unc-23,zig-12,unc-82,F42H10.3,sup-9,unc-95,sup-10,F36F2.1,alp-1,C04F12.8
GO:0031672	A band	5.24143432272739e-22	-49.0002768592808	38	17	0.101190476190476	168	11604	175175,171990,179292,180827,179972,175831,171736,178135,176848,175504,181020,3565712,177514,176240,179272,179676,173301	pat-4,unc-89,F21C10.7,unc-97,unc-112,pxl-1,tln-1,unc-22,pat-6,pat-3,unc-98,lim-9,unc-82,pat-2,unc-23,myo-3,unc-95
GO:0031430	M band	8.87342473793967e-22	-48.4738112205782	32	16	0.0952380952380952	168	11604	179272,176240,177514,173301,175831,179972,180827,179292,175175,171990,181020,3565712,175504,176848,178135,171736	unc-23,pat-2,unc-82,unc-95,pxl-1,unc-112,unc-97,F21C10.7,pat-4,unc-89,unc-98,lim-9,pat-3,pat-6,unc-22,tln-1
GO:0055120	striated muscle dense body	7.03950005320968e-17	-37.1924094284196	95	19	0.113095238095238	168	11604	180827,175175,175831,179972,175504,176848,171736,179328,180460,177482,179272,181123,185685,176240,173613,175847,173301,177701,181784	unc-97,pat-4,pxl-1,unc-112,pat-3,pat-6,tln-1,gsnl-1,pfn-3,deb-1,unc-23,zig-12,F42H10.3,pat-2,sup-9,mlp-1,unc-95,alp-1,sup-10
GO:0030055	cell-substrate junction	3.57088987660165e-14	-30.963376472032	35	12	0.0714285714285714	168	11604	177482,171736,176848,173301,175504,179972,181698,175831,175175,185685,173058,180827	deb-1,tln-1,pat-6,unc-95,pat-3,unc-112,mua-6,pxl-1,pat-4,F42H10.3,vab-10,unc-97
GO:0005924	cell-substrate adherens junction	1.83923271370759e-12	-27.0216726346975	19	9	0.0535714285714286	168	11604	173301,176848,175504,171736,177482,180827,175175,185685,175831	unc-95,pat-6,pat-3,tln-1,deb-1,unc-97,pat-4,F42H10.3,pxl-1
GO:0005925	focal adhesion	1.83923271370759e-12	-27.0216726346975	19	9	0.0535714285714286	168	11604	175831,180827,175175,185685,177482,176848,173301,175504,171736	pxl-1,unc-97,pat-4,F42H10.3,deb-1,pat-6,unc-95,pat-3,tln-1
GO:0031674	I band	1.07811301205323e-10	-22.9506386280197	19	8	0.0476190476190476	168	11604	175847,179292,3565712,172397,175504,177701,178740,178135	mlp-1,F21C10.7,lim-9,unc-87,pat-3,alp-1,ketn-1,unc-22
GO:0015629	actin cytoskeleton	2.48673904625604e-10	-22.114878697743	123	15	0.0892857142857143	168	11604	177701,179328,178135,176848,180631,178388,181020,172397,182228,175175,181329,181729,179676,181196,175831	alp-1,gsnl-1,unc-22,pat-6,unc-78,tag-273,unc-98,unc-87,C04F12.8,pat-4,tni-1,cas-1,myo-3,ipla-2,pxl-1
GO:0005912	adherens junction	5.16112844357124e-09	-19.0821105907477	55	10	0.0595238095238095	168	11604	177482,173301,176848,175504,177701,171736,175831,180827,175175,185685	deb-1,unc-95,pat-6,pat-3,alp-1,tln-1,pxl-1,unc-97,pat-4,F42H10.3
GO:0070161	anchoring junction	6.20537904604809e-09	-18.8978493329601	56	10	0.0595238095238095	168	11604	175831,180827,175175,185685,177482,176848,173301,175504,177701,171736	pxl-1,unc-97,pat-4,F42H10.3,deb-1,pat-6,unc-95,pat-3,alp-1,tln-1
GO:0043228	non-membrane-bounded organelle	2.12921624248744e-08	-17.6649267932189	1412	47	0.279761904761905	168	11604	176440,176240,171986,179216,181196,175847,179676,181062,181344,178740,190607,173976,181029,179292,180827,175175,171990,181329,173998,175831,181698,179972,176848,175504,180631,179328,181020,177482,3565712,180460,172397,181729,181123,179272,177514,185685,173613,173301,177701,181784,172722,182228,173058,180358,178388,178135,171736	cor-1,pat-2,cpn-3,tmd-2,ipla-2,mlp-1,myo-3,dim-1,mig-2,ketn-1,set-27,ifb-1,stn-2,F21C10.7,unc-97,pat-4,unc-89,tni-1,rfip-1,pxl-1,mua-6,unc-112,pat-6,pat-3,unc-78,gsnl-1,unc-98,deb-1,lim-9,pfn-3,unc-87,cas-1,zig-12,unc-23,unc-82,F42H10.3,sup-9,unc-95,alp-1,sup-10,F36F2.1,C04F12.8,vab-10,elp-1,tag-273,unc-22,tln-1
GO:0043232	intracellular non-membrane-bounded organelle	2.12921624248744e-08	-17.6649267932189	1412	47	0.279761904761905	168	11604	181729,181123,179272,177514,185685,173613,173301,172722,181784,177701,182228,173058,180358,178388,178135,171736,176440,176240,171986,179216,179676,175847,181196,181062,181344,178740,190607,173976,181029,179292,180827,171990,175175,181329,175831,173998,179972,181698,176848,175504,180631,179328,3565712,181020,177482,180460,172397	cas-1,zig-12,unc-23,unc-82,F42H10.3,sup-9,unc-95,F36F2.1,sup-10,alp-1,C04F12.8,vab-10,elp-1,tag-273,unc-22,tln-1,cor-1,pat-2,cpn-3,tmd-2,myo-3,mlp-1,ipla-2,dim-1,mig-2,ketn-1,set-27,ifb-1,stn-2,F21C10.7,unc-97,unc-89,pat-4,tni-1,pxl-1,rfip-1,unc-112,mua-6,pat-6,pat-3,unc-78,gsnl-1,lim-9,unc-98,deb-1,pfn-3,unc-87
GO:0045178	basal part of cell	5.98165174747139e-08	-16.6319840021776	16	6	0.0357142857142857	168	11604	177701,175175,176848,173058,175504,180827	alp-1,pat-4,pat-6,vab-10,pat-3,unc-97
GO:0030018	Z disc	7.20629967496253e-08	-16.4457251456243	9	5	0.0297619047619048	168	11604	175847,3565712,178135,177701,175504	mlp-1,lim-9,unc-22,alp-1,pat-3
GO:0005856	cytoskeleton	1.44413657304329e-07	-15.7505840352902	489	24	0.142857142857143	168	11604	182228,173976,177701,181344,181196,179676,181729,176440,172397,180460,181020,177482,178388,180631,176848,178135,179328,173998,175831,180358,181698,173058,181329,175175	C04F12.8,ifb-1,alp-1,mig-2,ipla-2,myo-3,cas-1,cor-1,unc-87,pfn-3,unc-98,deb-1,tag-273,unc-78,pat-6,unc-22,gsnl-1,rfip-1,pxl-1,elp-1,mua-6,vab-10,tni-1,pat-4
GO:0009925	basal plasma membrane	2.58085857689177e-07	-15.1699735256434	11	5	0.0297619047619048	168	11604	175175,180827,175504,173058,176848	pat-4,unc-97,pat-3,vab-10,pat-6
GO:0030054	cell junction	3.50833685157668e-07	-14.8629535572338	209	15	0.0892857142857143	168	11604	180827,173058,185685,175175,175831,179972,182801,181698,189815,175504,176848,173301,171736,177701,177482	unc-97,vab-10,F42H10.3,pat-4,pxl-1,unc-112,inx-18,mua-6,sup-1,pat-3,pat-6,unc-95,tln-1,alp-1,deb-1
GO:0008305	integrin complex	6.21762802231461e-07	-14.2907071638332	6	4	0.0238095238095238	168	11604	180827,175504,176240,175175	unc-97,pat-3,pat-2,pat-4
GO:0098636	protein complex involved in cell adhesion	6.21762802231461e-07	-14.2907071638332	6	4	0.0238095238095238	168	11604	176240,175175,175504,180827	pat-2,pat-4,pat-3,unc-97
GO:0042641	actomyosin	2.83636151981201e-06	-12.7729884821676	8	4	0.0238095238095238	168	11604	172397,177701,175175,180631	unc-87,alp-1,pat-4,unc-78
GO:0016323	basolateral plasma membrane	3.91503231699686e-06	-12.4506869738948	46	7	0.0416666666666667	168	11604	176848,173058,180827,175504,175175,180828,179357	pat-6,vab-10,unc-97,pat-3,pat-4,sulp-2,sulp-8
GO:0071944	cell periphery	1.16455026421872e-05	-11.3605904917822	1487	42	0.25	168	11604	178108,189903,180828,189231,192064,176848,180631,175504,177482,180460,175175,180827,179972,177234,175831,173998,181344,187008,181029,173976,176240,182801,179357,175489,175714,180729,171736,178388,189815,173058,183429,181784,173301,177727,175942,172369,3565871,180419,181729,182108,173613,181567	gem-4,pbo-5,sulp-2,W06A7.2,tsp-11,pat-6,unc-78,pat-3,deb-1,pfn-3,pat-4,unc-97,unc-112,T22B11.4,pxl-1,rfip-1,mig-2,K04G2.9,stn-2,ifb-1,pat-2,inx-18,sulp-8,acy-3,nex-1,amt-1,tln-1,tag-273,sup-1,vab-10,clhm-1,sup-10,unc-95,twk-8,pdfr-1,spg-20,syx-3,sli-1,cas-1,sup-18,sup-9,tsp-8
GO:0036379	myofilament	3.08140656007145e-05	-10.3875392968813	26	5	0.0297619047619048	168	11604	179676,172397,182228,181329,178135	myo-3,unc-87,C04F12.8,tni-1,unc-22
GO:0044430	cytoskeletal part	3.14596768107235e-05	-10.3668039334091	376	17	0.101190476190476	168	11604	178135,180631,172397,181020,181329,175175,173058,181698,173998,175831,180358,177701,173976,182228,181729,181196,179676	unc-22,unc-78,unc-87,unc-98,tni-1,pat-4,vab-10,mua-6,rfip-1,pxl-1,elp-1,alp-1,ifb-1,C04F12.8,cas-1,ipla-2,myo-3
GO:0005886	plasma membrane	3.31780585946687e-05	-10.3136217862258	1395	39	0.232142857142857	168	11604	177482,178108,189231,180828,189903,176848,192064,175504,179972,177234,173998,175831,175175,180827,173976,181029,181344,187008,182801,179357,175489,175714,176240,180729,171736,189815,178388,183429,173058,175942,181784,177727,173301,173613,181567,172369,3565871,180419,182108	deb-1,gem-4,W06A7.2,sulp-2,pbo-5,pat-6,tsp-11,pat-3,unc-112,T22B11.4,rfip-1,pxl-1,pat-4,unc-97,ifb-1,stn-2,mig-2,K04G2.9,inx-18,sulp-8,acy-3,nex-1,pat-2,amt-1,tln-1,sup-1,tag-273,clhm-1,vab-10,pdfr-1,sup-10,twk-8,unc-95,sup-9,tsp-8,spg-20,syx-3,sli-1,sup-18
GO:0001725	stress fiber	5.77416711773169e-05	-9.75953144100117	6	3	0.0178571428571429	168	11604	175175,177701,172397	pat-4,alp-1,unc-87
GO:0097517	contractile actin filament bundle	5.77416711773169e-05	-9.75953144100117	6	3	0.0178571428571429	168	11604	175175,177701,172397	pat-4,alp-1,unc-87
GO:0032432	actin filament bundle	0.00023485650156134	-8.35653586198542	9	3	0.0178571428571429	168	11604	172397,175175,177701	unc-87,pat-4,alp-1
GO:0032982	myosin filament	0.000451577170051947	-7.70276428043885	11	3	0.0178571428571429	168	11604	181020,182228,179676	unc-98,C04F12.8,myo-3
GO:0044459	plasma membrane part	0.000463607613892336	-7.67647202322471	893	26	0.154761904761905	168	11604	180729,180828,189903,171736,176848,192064,175504,189815,177234,183429,173998,175175,173058,180827,173976,181029,181344,181784,177727,173613,179357,181567,175489,3565871,176240,182108	amt-1,sulp-2,pbo-5,tln-1,pat-6,tsp-11,pat-3,sup-1,T22B11.4,clhm-1,rfip-1,pat-4,vab-10,unc-97,ifb-1,stn-2,mig-2,sup-10,twk-8,sup-9,sulp-8,tsp-8,acy-3,syx-3,pat-2,sup-18
GO:0042643	actomyosin, actin portion	0.000619165225228998	-7.38713839807172	3	2	0.0119047619047619	168	11604	172397,180631	unc-87,unc-78
GO:0005884	actin filament	0.000661673907461912	-7.3207377103036	28	4	0.0238095238095238	168	11604	177701,180631,181196,172397	alp-1,unc-78,ipla-2,unc-87
GO:0098802	plasma membrane receptor complex	0.000865909164403398	-7.05173054589243	30	4	0.0238095238095238	168	11604	175175,176240,175504,180827	pat-4,pat-2,pat-3,unc-97
GO:0016459	myosin complex	0.000865909164403398	-7.05173054589243	30	4	0.0238095238095238	168	11604	179676,182228,172397,181020	myo-3,C04F12.8,unc-87,unc-98
GO:0098590	plasma membrane region	0.000960579158496012	-6.94797416530869	248	11	0.0654761904761905	168	11604	173998,173613,179357,180827,173058,3565871,175175,173976,175504,176848,180828	rfip-1,sup-9,sulp-8,unc-97,vab-10,syx-3,pat-4,ifb-1,pat-3,pat-6,sulp-2
GO:0000815	ESCRT III complex	0.00122653198914495	-6.70356461295485	4	2	0.0119047619047619	168	11604	171801,182050	did-2,C01A2.4
GO:0099513	polymeric cytoskeletal fiber	0.00163925290052856	-6.41351468939795	152	8	0.0476190476190476	168	11604	181196,181698,180358,173058,173976,172397,177701,180631	ipla-2,mua-6,elp-1,vab-10,ifb-1,unc-87,alp-1,unc-78
