TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
cel04141	Protein processing in endoplasmic reticulum	0.00127487918286236	-6.66490386340094	135	12	0.133333333333333	90	2735	172833,175886,177343,180787,174295,179364,178014,177456,176390,173278,172586,173325	hrdl-1,stt-3,skn-1,mans-3,ufd-2,aagr-3,enpl-1,ribo-1,cnx-1,dnj-29,cdc-48.3,ero-1
ko04141	Protein processing in endoplasmic reticulum	0.00127487918286236	-6.66490386340094	135	12	0.133333333333333	90	2735	175886,172833,177456,178014,174295,179364,180787,177343,176390,173278,173325,172586	stt-3,hrdl-1,ribo-1,enpl-1,ufd-2,aagr-3,mans-3,skn-1,cnx-1,dnj-29,ero-1,cdc-48.3
M00130	Inositol phosphate metabolism, PI=> PIP2 => Ins(1,4,5)P3 => Ins(1,3,4,5)P4	0.00469485239999017	-5.36128860451786	11	3	0.0333333333333333	90	2735	177525,180443,172184	plc-4,pifk-1,ppk-1
cel_M00130	Inositol phosphate metabolism, PI=> PIP2 => Ins(1,4,5)P3 => Ins(1,3,4,5)P4	0.00469485239999017	-5.36128860451786	11	3	0.0333333333333333	90	2735	172184,180443,177525	ppk-1,pifk-1,plc-4
ko00512	Mucin type O-glycan biosynthesis	0.00469485239999017	-5.36128860451786	11	3	0.0333333333333333	90	2735	180302,178661,176112	gly-4,gly-7,gly-3
cel00512	Mucin type O-glycan biosynthesis	0.00469485239999017	-5.36128860451786	11	3	0.0333333333333333	90	2735	176112,178661,180302	gly-3,gly-7,gly-4
ko04150	mTOR signaling pathway	0.0130489247307297	-4.33904954472085	78	7	0.0777777777777778	90	2735	174134,179424,176230,181727,181524,177997,3564970	flcn-1,akt-1,aak-1,aak-2,akt-2,F13H10.3,vha-13
cel04150	mTOR signaling pathway	0.0130489247307297	-4.33904954472085	78	7	0.0777777777777778	90	2735	3564970,177997,181524,181727,176230,174134,179424	vha-13,F13H10.3,akt-2,aak-2,aak-1,flcn-1,akt-1
M00072	N-glycosylation by oligosaccharyltransferase	0.0147371448499055	-4.2173841118039	6	2	0.0222222222222222	90	2735	175886,177456	stt-3,ribo-1
cel_M00072	N-glycosylation by oligosaccharyltransferase	0.0147371448499055	-4.2173841118039	6	2	0.0222222222222222	90	2735	177456,175886	ribo-1,stt-3
ko04145	Phagosome	0.0161593977314184	-4.12525349567909	63	6	0.0666666666666667	90	2735	176257,3564970,176390,177440,175504,177103	unc-32,vha-13,cnx-1,dyci-1,pat-3,vha-19
cel04145	Phagosome	0.0161593977314184	-4.12525349567909	63	6	0.0666666666666667	90	2735	3564970,176390,177440,177103,175504,176257	vha-13,cnx-1,dyci-1,vha-19,pat-3,unc-32
ko00562	Inositol phosphate metabolism	0.017486226226544	-4.04634178072598	31	4	0.0444444444444444	90	2735	180443,172184,177525,172822	pifk-1,ppk-1,plc-4,ocrl-1
cel00562	Inositol phosphate metabolism	0.017486226226544	-4.04634178072598	31	4	0.0444444444444444	90	2735	172822,177525,172184,180443	ocrl-1,plc-4,ppk-1,pifk-1
M00073	N-glycan precursor trimming	0.0201935325445431	-3.9023928969029	7	2	0.0222222222222222	90	2735	180787,179364	mans-3,aagr-3
cel_M00073	N-glycan precursor trimming	0.0201935325445431	-3.9023928969029	7	2	0.0222222222222222	90	2735	180787,179364	mans-3,aagr-3
M00676	PI3K-Akt signaling	0.0201935325445431	-3.9023928969029	7	2	0.0222222222222222	90	2735	181524,179424	akt-2,akt-1
cel_M00676	PI3K-Akt signaling	0.0201935325445431	-3.9023928969029	7	2	0.0222222222222222	90	2735	181524,179424	akt-2,akt-1
cel04330	Notch signaling pathway	0.022795244757969	-3.78120332802105	19	3	0.0333333333333333	90	2735	177373,172905,171920	lag-1,aph-2,pcaf-1
ko04330	Notch signaling pathway	0.022795244757969	-3.78120332802105	19	3	0.0333333333333333	90	2735	171920,172905,177373	pcaf-1,aph-2,lag-1
cel_M00095	C5 isoprenoid biosynthesis, mevalonate pathway	0.0263539702643156	-3.6361363411774	8	2	0.0222222222222222	90	2735	175863,176047	mvk-1,hmgr-1
M00095	C5 isoprenoid biosynthesis, mevalonate pathway	0.0263539702643156	-3.6361363411774	8	2	0.0222222222222222	90	2735	175863,176047	mvk-1,hmgr-1
M00160	V-type ATPase, eukaryotes	0.0298452682323454	-3.51172896988824	21	3	0.0333333333333333	90	2735	3564970,177103,176257	vha-13,vha-19,unc-32
cel_M00160	V-type ATPase, eukaryotes	0.0298452682323454	-3.51172896988824	21	3	0.0333333333333333	90	2735	176257,3564970,177103	unc-32,vha-13,vha-19
ko00510	N-Glycan biosynthesis	0.0316212182295721	-3.45392692075852	37	4	0.0444444444444444	90	2735	175886,177456,179364,180787	stt-3,ribo-1,aagr-3,mans-3
cel00510	N-Glycan biosynthesis	0.0316212182295721	-3.45392692075852	37	4	0.0444444444444444	90	2735	175886,179364,177456,180787	stt-3,aagr-3,ribo-1,mans-3
cel00564	Glycerophospholipid metabolism	0.0328928071025698	-3.41450127421486	55	5	0.0555555555555556	90	2735	174916,181211,178928,172509,180519	acl-7,pssy-1,acl-6,T25G3.4,acl-4
ko00564	Glycerophospholipid metabolism	0.0328928071025698	-3.41450127421486	55	5	0.0555555555555556	90	2735	174916,181211,180519,178928,172509	acl-7,pssy-1,acl-4,acl-6,T25G3.4
cel_M00089	Triacylglycerol biosynthesis	0.0485603475493041	-3.02494797514563	11	2	0.0222222222222222	90	2735	178928,180519	acl-6,acl-4
M00089	Triacylglycerol biosynthesis	0.0485603475493041	-3.02494797514563	11	2	0.0222222222222222	90	2735	180519,178928	acl-4,acl-6
cel04213	Longevity regulating pathway - multiple species	0.0546877320577836	-2.90611587153098	44	4	0.0444444444444444	90	2735	176230,179424,181727,181524	aak-1,akt-1,aak-2,akt-2
ko04213	Longevity regulating pathway - multiple species	0.0546877320577836	-2.90611587153098	44	4	0.0444444444444444	90	2735	179424,176230,181727,181524	akt-1,aak-1,aak-2,akt-2
ko04120	Ubiquitin mediated proteolysis	0.0559490357856599	-2.88331407787297	84	6	0.0666666666666667	90	2735	175205,179413,179878,172145,176139,174295	mat-3,cul-5,sel-10,mat-1,apc-2,ufd-2
cel04120	Ubiquitin mediated proteolysis	0.0559490357856599	-2.88331407787297	84	6	0.0666666666666667	90	2735	175205,179413,172145,179878,174295,176139	mat-3,cul-5,mat-1,sel-10,ufd-2,apc-2
ko04070	Phosphatidylinositol signaling system	0.0585670694021569	-2.83758269594999	45	4	0.0444444444444444	90	2735	172184,180443,177525,172822	ppk-1,pifk-1,plc-4,ocrl-1
cel04070	Phosphatidylinositol signaling system	0.0585670694021569	-2.83758269594999	45	4	0.0444444444444444	90	2735	172822,177525,172184,180443	ocrl-1,plc-4,ppk-1,pifk-1
cel04144	Endocytosis	0.0623538564279862	-2.77492975747793	108	7	0.0777777777777778	90	2735	177616,175376,172184,173914,179010,180713,189590	wsp-1,apb-1,ppk-1,pkc-3,rme-1,dpy-23,vps-4
ko04144	Endocytosis	0.0623538564279862	-2.77492975747793	108	7	0.0777777777777778	90	2735	175376,172184,173914,177616,179010,189590,180713	apb-1,ppk-1,pkc-3,wsp-1,rme-1,vps-4,dpy-23
cel04933	AGE-RAGE signaling pathway in diabetic complications	0.0679931753894861	-2.68834794076195	29	3	0.0333333333333333	90	2735	177525,181524,179424	plc-4,akt-2,akt-1
ko04933	AGE-RAGE signaling pathway in diabetic complications	0.0679931753894861	-2.68834794076195	29	3	0.0333333333333333	90	2735	177525,181524,179424	plc-4,akt-2,akt-1
cel04320	Dorso-ventral axis formation	0.0953484813218051	-2.3502168744689	16	2	0.0222222222222222	90	2735	176310,176332	cpb-1,bre-3
ko04320	Dorso-ventral axis formation	0.0953484813218051	-2.3502168744689	16	2	0.0222222222222222	90	2735	176310,176332	cpb-1,bre-3
ko00604	Glycosphingolipid biosynthesis - ganglio series	0.0955411393905774	-2.34819834529514	3	1	0.0111111111111111	90	2735	259455	T26C5.3
cel00604	Glycosphingolipid biosynthesis - ganglio series	0.0955411393905774	-2.34819834529514	3	1	0.0111111111111111	90	2735	259455	T26C5.3
cel00900	Terpenoid backbone biosynthesis	0.105825318596596	-2.24596548198109	17	2	0.0222222222222222	90	2735	176047,175863	hmgr-1,mvk-1
ko00900	Terpenoid backbone biosynthesis	0.105825318596596	-2.24596548198109	17	2	0.0222222222222222	90	2735	176047,175863	hmgr-1,mvk-1
cel04068	FoxO signaling pathway	0.121515703634945	-2.1077117765291	58	4	0.0444444444444444	90	2735	179424,176230,181524,181727	akt-1,aak-1,akt-2,aak-2
cel_M00405	THC complex	0.125336636263196	-2.07675207144379	4	1	0.0111111111111111	90	2735	173460	thoc-1
M00405	THC complex	0.125336636263196	-2.07675207144379	4	1	0.0111111111111111	90	2735	173460	thoc-1
cel04140	Autophagy - animal	0.140518720303292	-1.96241455849125	84	5	0.0555555555555556	90	2735	178005,181727,181524,176230,179424	atg-7,aak-2,akt-2,aak-1,akt-1
ko04140	Autophagy - animal	0.140518720303292	-1.96241455849125	84	5	0.0555555555555556	90	2735	176230,179424,178005,181727,181524	aak-1,akt-1,atg-7,aak-2,akt-2
cel03060	Protein export	0.162045806258793	-1.81987622903342	22	2	0.0222222222222222	90	2735	173278,179686	dnj-29,srpa-68
ko03060	Protein export	0.162045806258793	-1.81987622903342	22	2	0.0222222222222222	90	2735	179686,173278	srpa-68,dnj-29
cel_M00400	p97-Ufd1-Npl4 complex	0.182045931575292	-1.70349625245281	6	1	0.0111111111111111	90	2735	172586	cdc-48.3
ko00532	Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate	0.182045931575292	-1.70349625245281	6	1	0.0111111111111111	90	2735	176231	mig-22
M00400	p97-Ufd1-Npl4 complex	0.182045931575292	-1.70349625245281	6	1	0.0111111111111111	90	2735	172586	cdc-48.3
cel00532	Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate	0.182045931575292	-1.70349625245281	6	1	0.0111111111111111	90	2735	176231	mig-22
cel03015	mRNA surveillance pathway	0.183487180704352	-1.69561047384962	68	4	0.0444444444444444	90	2735	179526,175750,172826,179486	pptr-2,paa-1,sur-6,gsp-1
ko03015	mRNA surveillance pathway	0.183487180704352	-1.69561047384962	68	4	0.0444444444444444	90	2735	172826,179486,179526,175750	sur-6,gsp-1,pptr-2,paa-1
ko04212	Longevity regulating pathway - worm	0.203842220225731	-1.59040901465544	71	4	0.0444444444444444	90	2735	181524,177343,173078,179424	akt-2,skn-1,hsf-1,akt-1
cel04212	Longevity regulating pathway - worm	0.203842220225731	-1.59040901465544	71	4	0.0444444444444444	90	2735	179424,173078,177343,181524	akt-1,hsf-1,skn-1,akt-2
cel01100	Metabolic pathways	0.206780946234586	-1.57609527678906	792	30	0.333333333333333	90	2735	177841,177456,177525,179364,175562,176112,181211,177103,178072,172822,180519,3564970,177900,176257,180443,180302,177893,171881,180787,178181,178928,176231,172184,175886,174254,175863,259455,172371,178661,176047	mccc-1,ribo-1,plc-4,aagr-3,hse-5,gly-3,pssy-1,vha-19,sms-1,ocrl-1,acl-4,vha-13,qns-1,unc-32,pifk-1,gly-4,pps-1,pign-1,mans-3,F19B6.1,acl-6,mig-22,ppk-1,stt-3,mthf-1,mvk-1,T26C5.3,tre-1,gly-7,hmgr-1
cel00514	Other types of O-glycan biosynthesis	0.209021331412621	-1.5653189680503	7	1	0.0111111111111111	90	2735	176000	ogt-1
ko00514	Other types of O-glycan biosynthesis	0.209021331412621	-1.5653189680503	7	1	0.0111111111111111	90	2735	176000	ogt-1
cel04512	ECM-receptor interaction	0.235116668719454	-1.4476734253988	8	1	0.0111111111111111	90	2735	175504	pat-3
ko04512	ECM-receptor interaction	0.235116668719454	-1.4476734253988	8	1	0.0111111111111111	90	2735	175504	pat-3
cel04137	Mitophagy - animal	0.246953980402512	-1.39855327387267	29	2	0.0222222222222222	90	2735	173990,177238	fzo-1,miro-1
ko04137	Mitophagy - animal	0.246953980402512	-1.39855327387267	29	2	0.0222222222222222	90	2735	177238,173990	miro-1,fzo-1
cel00534	Glycosaminoglycan biosynthesis - heparan sulfate / heparin	0.26036034301999	-1.34568867279537	9	1	0.0111111111111111	90	2735	175562	hse-5
ko00534	Glycosaminoglycan biosynthesis - heparan sulfate / heparin	0.26036034301999	-1.34568867279537	9	1	0.0111111111111111	90	2735	175562	hse-5
cel00561	Glycerolipid metabolism	0.28407244382952	-1.25852598944254	32	2	0.0222222222222222	90	2735	180519,178928	acl-4,acl-6
ko00561	Glycerolipid metabolism	0.28407244382952	-1.25852598944254	32	2	0.0222222222222222	90	2735	178928,180519	acl-6,acl-4
ko00760	Nicotinate and nicotinamide metabolism	0.30840179746246	-1.17635180896215	11	1	0.0111111111111111	90	2735	177900	qns-1
cel00760	Nicotinate and nicotinamide metabolism	0.30840179746246	-1.17635180896215	11	1	0.0111111111111111	90	2735	177900	qns-1
ko00670	One carbon pool by folate	0.331251958338737	-1.10487598973318	12	1	0.0111111111111111	90	2735	174254	mthf-1
cel00670	One carbon pool by folate	0.331251958338737	-1.10487598973318	12	1	0.0111111111111111	90	2735	174254	mthf-1
ko03022	Basal transcription factors	0.333282908611862	-1.09876357427561	36	2	0.0222222222222222	90	2735	172552,172676	taf-5,tlf-1
cel03022	Basal transcription factors	0.333282908611862	-1.09876357427561	36	2	0.0222222222222222	90	2735	172676,172552	tlf-1,taf-5
