TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
GO:0070069	cytochrome complex	1.61666366731614e-08	-17.9403161829412	10	4	0.111111111111111	36	11604	175693,173237,176707,177609	cox-6A,cox-4,cox-5A,isp-1
GO:0045277	respiratory chain complex IV	2.74244918124989e-08	-17.4118293610389	3	3	0.0833333333333333	36	11604	175693,173237,176707	cox-6A,cox-4,cox-5A
GO:0005751	mitochondrial respiratory chain complex IV	2.74244918124989e-08	-17.4118293610389	3	3	0.0833333333333333	36	11604	176707,175693,173237	cox-5A,cox-6A,cox-4
GO:0005737	cytoplasm	2.21981847749387e-07	-15.3206702253119	3785	27	0.75	36	11604	178402,174318,172743,176225,175940,172442,180583,176794,172511,179522,173237,172944,175693,175588,3565442,175819,178113,176120,177609,175703,173579,180372,179079,176773,175922,180422,176707	gdi-1,cct-1,eef-2,ZK370.4,copd-1,nars-1,pfk-1.1,hip-1,D2030.2,eef-1G,cox-4,tct-1,cox-6A,cct-5,arx-3,cct-6,par-5,eef-1B.1,isp-1,gars-1,F54A3.5,F31D4.9,odc-1,ant-1.1,dlc-1,trap-2,cox-5A
GO:0098800	inner mitochondrial membrane protein complex	2.77935885727188e-07	-15.0958753767349	89	6	0.166666666666667	36	11604	176707,177609,180372,173237,173579,175693	cox-5A,isp-1,F31D4.9,cox-4,F54A3.5,cox-6A
GO:0098803	respiratory chain complex	3.72012602061759e-07	-14.804338106737	49	5	0.138888888888889	36	11604	175693,180372,173237,176707,177609	cox-6A,F31D4.9,cox-4,cox-5A,isp-1
GO:0005746	mitochondrial respirasome	4.56236486593752e-07	-14.600254550913	51	5	0.138888888888889	36	11604	177609,176707,173237,180372,175693	isp-1,cox-5A,cox-4,F31D4.9,cox-6A
GO:0005743	mitochondrial inner membrane	5.85883693659619e-07	-14.3501445420517	164	7	0.194444444444444	36	11604	173579,173237,180372,175693,176773,176707,177609	F54A3.5,cox-4,F31D4.9,cox-6A,ant-1.1,cox-5A,isp-1
GO:0070469	respirasome	6.69646273992437e-07	-14.2165162132407	55	5	0.138888888888889	36	11604	176707,177609,173237,180372,175693	cox-5A,isp-1,cox-4,F31D4.9,cox-6A
GO:0019866	organelle inner membrane	1.13954817609665e-06	-13.6848787108774	181	7	0.194444444444444	36	11604	176707,177609,176773,175693,180372,173237,173579	cox-5A,isp-1,ant-1.1,cox-6A,F31D4.9,cox-4,F54A3.5
GO:0044455	mitochondrial membrane part	2.16941212990316e-06	-13.0410543349928	126	6	0.166666666666667	36	11604	173237,180372,173579,175693,176707,177609	cox-4,F31D4.9,F54A3.5,cox-6A,cox-5A,isp-1
GO:0101031	chaperone complex	2.27433128039816e-06	-12.9938244914531	9	3	0.0833333333333333	36	11604	174318,175588,175819	cct-1,cct-5,cct-6
GO:0005832	chaperonin-containing T-complex	2.27433128039816e-06	-12.9938244914531	9	3	0.0833333333333333	36	11604	174318,175588,175819	cct-1,cct-5,cct-6
GO:0031966	mitochondrial membrane	2.97902405086013e-06	-12.7239148107981	209	7	0.194444444444444	36	11604	173579,180372,173237,176773,175693,177609,176707	F54A3.5,F31D4.9,cox-4,ant-1.1,cox-6A,isp-1,cox-5A
GO:0044444	cytoplasmic part	4.52468357623647e-06	-12.305962911161	2646	21	0.583333333333333	36	11604	176794,180583,172511,175940,172743,176225,174318,175588,175819,172944,173237,175693,176120,177609,175703,178113,180422,176707,173579,180372,176773	hip-1,pfk-1.1,D2030.2,copd-1,eef-2,ZK370.4,cct-1,cct-5,cct-6,tct-1,cox-4,cox-6A,eef-1B.1,isp-1,gars-1,par-5,trap-2,cox-5A,F54A3.5,F31D4.9,ant-1.1
GO:0005740	mitochondrial envelope	4.71388489185184e-06	-12.2649981721083	224	7	0.194444444444444	36	11604	173237,180372,173579,175693,176773,176707,177609	cox-4,F31D4.9,F54A3.5,cox-6A,ant-1.1,cox-5A,isp-1
GO:0031967	organelle envelope	5.54548434736513e-06	-12.1025265924888	327	8	0.222222222222222	36	11604	175922,173579,180372,173237,176773,175693,176707,177609	dlc-1,F54A3.5,F31D4.9,cox-4,ant-1.1,cox-6A,cox-5A,isp-1
GO:0031975	envelope	5.54548434736513e-06	-12.1025265924888	327	8	0.222222222222222	36	11604	177609,176707,173579,173237,180372,175693,176773,175922	isp-1,cox-5A,F54A3.5,cox-4,F31D4.9,cox-6A,ant-1.1,dlc-1
GO:0044429	mitochondrial part	8.04956159973533e-06	-11.729892927677	344	8	0.222222222222222	36	11604	172511,177609,173237,180372,173579,175693,176773,176707	D2030.2,isp-1,cox-4,F31D4.9,F54A3.5,cox-6A,ant-1.1,cox-5A
GO:0098798	mitochondrial protein complex	1.2245188169553e-05	-11.3103775006261	170	6	0.166666666666667	36	11604	173237,180372,173579,175693,177609,176707	cox-4,F31D4.9,F54A3.5,cox-6A,isp-1,cox-5A
GO:0005622	intracellular	3.88604658424588e-05	-10.1555331263756	5834	30	0.833333333333333	36	11604	178113,178696,176120,175703,177609,180372,173579,179079,176773,175922,176189,180422,176707,178402,174318,175940,172743,176225,176352,172442,176794,180583,179522,172511,173237,172944,175693,175588,3565442,175819	par-5,nhr-13,eef-1B.1,gars-1,isp-1,F31D4.9,F54A3.5,odc-1,ant-1.1,dlc-1,sor-1,trap-2,cox-5A,gdi-1,cct-1,copd-1,eef-2,ZK370.4,ced-7,nars-1,hip-1,pfk-1.1,eef-1G,D2030.2,cox-4,tct-1,cox-6A,cct-5,arx-3,cct-6
GO:0044424	intracellular part	3.88604658424588e-05	-10.1555331263756	5834	30	0.833333333333333	36	11604	172743,174318,175940,176225,178402,172511,179522,180583,176794,176352,172442,175693,172944,173237,3565442,175819,175588,178696,178113,177609,175703,176120,176189,175922,176773,180372,179079,173579,176707,180422	eef-2,cct-1,copd-1,ZK370.4,gdi-1,D2030.2,eef-1G,pfk-1.1,hip-1,ced-7,nars-1,cox-6A,tct-1,cox-4,arx-3,cct-6,cct-5,nhr-13,par-5,isp-1,gars-1,eef-1B.1,sor-1,dlc-1,ant-1.1,F31D4.9,odc-1,F54A3.5,cox-5A,trap-2
GO:0005739	mitochondrion	6.83352718373798e-05	-9.59108449954445	602	9	0.25	36	11604	173579,180372,173237,175693,176773,176707,175703,172511,177609	F54A3.5,F31D4.9,cox-4,cox-6A,ant-1.1,cox-5A,gars-1,D2030.2,isp-1
