TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
2.30.29.30	-	5.35569381275571e-07	-14.4399353919114	130	30	0.0626304801670146	479	5448	179808,172088,173986,181153,181524,181495,180571,175849,172870,177336,178217,172189,175773,171736,177616,180475,179013,176924,172174,172455,179077,173360,179687,176672,180783,178411,172597,179243,179424,176201	uig-1,let-502,tbc-2,vav-1,akt-2,obr-3,cgef-1,T04C9.1,F10G8.8,drp-1,efa-6,frm-4,ced-6,tln-1,wsp-1,pdk-1,mrck-1,dcap-1,erm-1,crml-1,unc-70,frm-1,frm-7,ani-1,apl-1,eps-8,lin-10,smk-1,akt-1,pac-1
3.40.1110.10	-	3.6477630129886e-06	-12.5213964514072	21	10	0.0208768267223382	479	5448	177664,178070,177795,177004,172748,176512,179796,173176,176498,176666	catp-7,catp-8,mca-1,mca-2,tat-5,sca-1,eat-6,pmr-1,tat-3,tat-1
1.25.10.10	-	1.07016417886093e-05	-11.4451133900791	113	25	0.0521920668058455	479	5448	175502,179160,174284,175094,177770,179109,176509,172622,177486,173304,177039,179526,175206,172167,172761,180850,177533,172859,175249,174350,172110,174527,181163,177581,172594	tir-1,xpo-1,zyg-11,imb-2,daf-15,soap-1,dpy-28,tbcd-1,hecd-1,apg-1,Y69A2AR.16,pptr-2,unc-45,let-363,ppfr-1,puf-9,ima-3,sys-1,zer-1,zyg-9,imb-1,mop-25.2,apa-2,xpo-3,rme-8
3.40.50.1000	-	0.000137490738810112	-8.89195399723432	47	13	0.0271398747390397	479	5448	179796,176512,172748,180573,176498,179481,173176,177664,181778,177004,178304,177795,178070	eat-6,sca-1,tat-5,Y71H10B.1,tat-3,scpl-4,pmr-1,catp-7,tps-1,mca-2,Y62E10A.13,mca-1,catp-8
2.130.10.10	-	0.000380934151674444	-7.87288402802525	163	28	0.058455114822547	479	5448	172802,3565442,176322,178060,172826,175892,176040,174305,177779,179878,175742,179445,179875,176349,178220,179410,174803,177770,174038,181558,174516,174058,176758,179246,177440,172394,175974,173524	lin-53,arx-3,emb-30,sec-31,sur-6,F47D12.9,F56C9.10,ire-1,copb-2,sel-10,Y32H12A.8,cash-1,swan-2,unc-16,wdfy-3,wdr-20,gpb-1,daf-15,F13H8.2,rbc-1,fzr-1,lin-23,lis-1,atg-18,dyci-1,unc-37,panl-2,emc-1
3.50.7.10	-	0.000892727811601553	-7.02122882578732	10	5	0.0104384133611691	479	5448	178670,174318,175588,181428,175819	cct-7,cct-1,cct-5,ppk-3,cct-6
3.30.70.330	-	0.0015764788098191	-6.45256152035138	120	21	0.0438413361169102	479	5448	178401,176002,172920,172768,177880,181473,173401,259546,180791,178284,175800,175542,173086,175662,173967,177398,177101,176688,177580,173915,179371	Y57G11C.9,rnp-7,pab-1,pabp-2,gtbp-1,pab-2,etr-1,drr-2,H28G03.1,unc-26,rbm-26,asd-1,hrp-2,set-2,tiar-1,hrpf-2,hrp-1,rsp-3,ntl-4,rsp-4,smg-4
1.25.40.90	-	0.0016669491856841	-6.39676015817112	16	6	0.0125260960334029	479	5448	176224,181358,181577,172691,177617,171952	hipr-1,rsd-3,epn-1,cids-2,hgrs-1,unc-11
1.10.287.110	-	0.00207113039590446	-6.179660735777	34	9	0.0187891440501044	479	5448	174451,3564910,180746,174514,176211,178043,178040,174093,172594	dnj-23,dnj-13,dnj-14,dnj-20,dnj-10,dnj-2,dnj-1,dnj-8,rme-8
2.60.40.150	-	0.00286884237693607	-5.85384668356325	56	12	0.0250521920668058	479	5448	176825,181274,177942,178508,181166,178385,179649,181618,181244,180645,181172,171647	tpa-1,plc-1,ced-5,nra-1,pkc-2,tra-3,pkc-1,piki-1,pkn-1,rgs-7,gap-2,wwp-1
