TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
180982	bar-1 (Beta-catenin/armadillo-related protein 1)	7.49162553068832e-08	-16.406894943176	182	49	0.0985915492957746	497	3938	175504,176060,181274,177373,172582,175559,175890,175677,175621,172856,177286,175545,176050,181650,174484,175571,175538,181194,178113,176992,178104,172233,175596,175517,172249,175704,177617,174090,175497,175548,181348,181082,172610,174350,177595,172826,3565921,174058,172520,180980,172981,180923,177335,180724,172859,175556,173137,176000,172088	pat-3,mup-4,plc-1,lag-1,cyc-1,cdk-12,hmg-1.2,tmem-131,emb-5,mom-5,soc-2,mpk-1,mml-1,nipi-3,mel-11,snfc-5,lars-1,dpy-22,par-5,egl-18,let-60,unc-40,pan-1,C36E8.1,lin-35,ulp-1,hgrs-1,icd-1,C36A4.4,T08A11.1,ftt-2,ksr-1,kin-10,zyg-9,arf-3,sur-6,chk-1,lin-23,lrp-1,lam-2,daf-16,cdf-1,fem-1,pdi-2,sys-1,dcn-1,par-6,ogt-1,let-502
174044	sma-6 (Serine/threonine-protein kinase sma-6)	3.04127198459729e-06	-12.7032347140718	81	26	0.0523138832997988	497	3938	179878,176992,178104,173137,172088,172249,172856,175621,175545,174484,181194,178113,180724,174350,177343,3565921,172826,175890,172520,180980,181172,174090,175504,175783,181274,177373	sel-10,egl-18,let-60,par-6,let-502,lin-35,mom-5,emb-5,mpk-1,mel-11,dpy-22,par-5,pdi-2,zyg-9,skn-1,chk-1,sur-6,hmg-1.2,lrp-1,lam-2,gap-2,icd-1,pat-3,par-3,plc-1,lag-1
180441	sel-12 (Presenilin sel-12)	2.77071246148119e-05	-10.493820971532	56	19	0.0382293762575453	497	3938	177617,177756,175490,181274,181348,177373,177636,172610,177595,172826,175890,174058,181620,174233,181194,176992,174121,172891,172088	hgrs-1,F49C12.11,mtm-3,plc-1,ftt-2,lag-1,nap-1,kin-10,arf-3,sur-6,hmg-1.2,lin-23,kin-20,cdc-42,dpy-22,egl-18,egl-27,csnk-1,let-502
180479	zfp-3 (Zinc Finger Protein)	9.12824204499483e-05	-9.30155233600097	14	8	0.0160965794768612	497	3938	178411,176061,176808,175849,175227,175545,181261,175195	eps-8,cgh-1,lit-1,T04C9.1,pat-12,mpk-1,abl-1,gei-4
178104	let-60 (Ras protein let-60)	9.43024241820096e-05	-9.26900366152899	135	33	0.0663983903420523	497	3938	176060,175504,181263,181274,172582,177373,175890,174484,174685,181408,180611,175545,175621,177286,172856,181194,178113,176061,174121,176992,172249,172233,174090,181082,172826,3565921,174350,177659,172520,180980,180724,172088,173137	mup-4,pat-3,daf-12,plc-1,cyc-1,lag-1,hmg-1.2,mel-11,ptp-3,scd-1,rgl-1,mpk-1,emb-5,soc-2,mom-5,dpy-22,par-5,cgh-1,egl-27,egl-18,lin-35,unc-40,icd-1,ksr-1,sur-6,chk-1,zyg-9,pkg-2,lrp-1,lam-2,pdi-2,let-502,par-6
171888	vbh-1 (Vasa-and Belle-like Helicase)	9.72600923335586e-05	-9.23812180364137	29	12	0.0241448692152917	497	3938	171647,173953,177617,171888,177836,177398,172682,180819,172768,176966,172691,176314	wwp-1,F59E12.9,hgrs-1,vbh-1,npp-1,hrpf-2,gls-1,dlg-1,pabp-2,npp-8,cids-2,emb-9
176282	lin-12 (Protein lin-12)	0.000216544935165523	-8.43771247933023	19	9	0.0181086519114688	497	3938	177617,175559,181194,173794,175890,174121,179878,172891,174473	hgrs-1,cdk-12,dpy-22,vab-1,hmg-1.2,egl-27,sel-10,csnk-1,cam-1
174121	egl-27 (Egg-laying defective protein 27)	0.000218944508848015	-8.42669224451063	12	7	0.0140845070422535	497	3938	178218,178104,181344,177436,178074,173794,180133	ark-1,let-60,mig-2,lin-45,mep-1,vab-1,efl-1
181055	sem-5 (Sex muscle abnormal protein 5)	0.000250360368991124	-8.29260920206669	113	28	0.0563380281690141	497	3938	175890,3565921,172826,174350,173362,177985,180980,176322,172520,179424,176060,175504,174090,180419,172582,177373,181274,178104,177908,172088,185870,173137,179488,174484,177111,175621,178113,178887	hmg-1.2,chk-1,sur-6,zyg-9,ptr-23,rbr-2,lam-2,emb-30,lrp-1,akt-1,mup-4,pat-3,icd-1,sli-1,cyc-1,lag-1,plc-1,let-60,daf-14,let-502,rme-4,par-6,mre-11,mel-11,ced-10,emb-5,par-5,tam-1
181697	sgk-1 (Serine/threonine-protein kinase sgk-1)	0.000251032100495075	-8.28992973659115	4	4	0.00804828973843058	497	3938	172981,180475,181524,179424	daf-16,pdk-1,akt-2,akt-1
178191	gex-3 (Membrane-associated protein gex-3)	0.000329695668577029	-8.01734054544019	28	11	0.0221327967806841	497	3938	181344,173794,178411,176145,178354,176237,174225,175227,178074,176314,176083	mig-2,vab-1,eps-8,gei-8,lin-66,zfp-1,nfi-1,pat-12,mep-1,emb-9,lin-13
178218	ark-1 (Ack-related non-receptor tyrosine kinase)	0.000836770160202492	-7.08596112470328	18	8	0.0160965794768612	497	3938	181082,178887,175559,181194,181030,174121,175890,177595	ksr-1,tam-1,cdk-12,dpy-22,unc-18,egl-27,hmg-1.2,arf-3
174256	spdl-1 (Spindly-like protein spdl-1)	0.00103517966006831	-6.87318028272181	11	6	0.0120724346076459	497	3938	172234,173956,172249,175195,175227,175545	npp-7,zyg-1,lin-35,gei-4,pat-12,mpk-1
177249	eor-1 (hypothetical protein)	0.00106283252206262	-6.84681774418678	27	10	0.0201207243460765	497	3938	175890,172610,180671,177157,175227,176128,180398,181194,178887,178411	hmg-1.2,kin-10,ceh-18,hlh-30,pat-12,lin-36,dve-1,dpy-22,tam-1,eps-8
171872	mek-2 (Dual specificity mitogen-activated protein kinase kinase mek-2)	0.00112932539770411	-6.78613481771147	5	4	0.00804828973843058	497	3938	175545,177436,172249,181082	mpk-1,lin-45,lin-35,ksr-1
175867	Y42G9A.1 (hypothetical protein)	0.00112932539770411	-6.78613481771147	5	4	0.00804828973843058	497	3938	175195,175227,175502,179677	gei-4,pat-12,tir-1,T04H1.2
