TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
GSE12198_CTRL_VS_LOW_IL2_STIM_NK_CELL_DN	GSE12198_CTRL_VS_LOW_IL2_STIM_NK_CELL_DN	0.000240159190906364	-8.3342085590623	52	7	0.0804597701149425	87	3519	172060,176259,179789,176231,188555,174543,171998	D1007.5,trxr-2,W07G4.3,mig-22,pqn-68,vgln-1,E01A2.1
GSE17301_CTRL_VS_48H_IFNA2_STIM_CD8_TCELL_DN	GSE17301_CTRL_VS_48H_IFNA2_STIM_CD8_TCELL_DN	0.00113144704282704	-6.78425789661341	33	5	0.0574712643678161	87	3519	179316,191700,172183,181490,180941	coq-6,lbp-5,dhs-2,pix-1,K11G12.6
GSE37416_0H_VS_3H_F_TULARENSIS_LVS_NEUTROPHIL_UP	GSE37416_0H_VS_3H_F_TULARENSIS_LVS_NEUTROPHIL_UP	0.00156946255805961	-6.45702203793394	52	6	0.0689655172413793	87	3519	176515,181495,180037,171756,180309,182643	oxi-1,obr-3,ech-1.1,scm-1,abhd-3.1,C15H9.4
GO_REGULATION_OF_GROWTH_HORMONE_SECRETION	GO_REGULATION_OF_GROWTH_HORMONE_SECRETION	0.00178389556024515	-6.32895578900148	3	2	0.0229885057471264	87	3519	181490,189837	pix-1,gbb-1
GSE17721_CPG_VS_GARDIQUIMOD_8H_BMDC_DN	GSE17721_CPG_VS_GARDIQUIMOD_8H_BMDC_DN	0.00191391708092721	-6.25860330928939	54	6	0.0689655172413793	87	3519	186828,171756,173278,174914,178419,174342	K01A11.2,scm-1,dnj-29,spds-1,eef-1B.2,F14E5.2
GSE3982_DC_VS_NEUTROPHIL_DN	GSE3982_DC_VS_NEUTROPHIL_DN	0.00215498564046272	-6.13997121880699	23	4	0.0459770114942529	87	3519	178419,182643,181019,266646	eef-1B.2,C15H9.4,apy-1,sptl-2
GSE24210_CTRL_VS_IL35_TREATED_TCONV_CD4_TCELL_DN	GSE24210_CTRL_VS_IL35_TREATED_TCONV_CD4_TCELL_DN	0.00224913673210674	-6.09720881100697	75	7	0.0804597701149425	87	3519	3564855,174594,175069,171998,174914,174543,172182	C08B11.9,clpp-1,Y48B6A.1,E01A2.1,spds-1,vgln-1,nath-10
GSE17721_LPS_VS_POLYIC_6H_BMDC_UP	GSE17721_LPS_VS_POLYIC_6H_BMDC_UP	0.00231291182389761	-6.06924801842335	56	6	0.0689655172413793	87	3519	180037,175069,172959,172060,176584,189590	ech-1.1,Y48B6A.1,eif-3.E,D1007.5,xpb-1,vps-4
GSE5589_UNSTIM_VS_180MIN_LPS_AND_IL10_STIM_MACROPHAGE_UP	GSE5589_UNSTIM_VS_180MIN_LPS_AND_IL10_STIM_MACROPHAGE_UP	0.00253450476091271	-5.97775702161106	57	6	0.0689655172413793	87	3519	177926,181232,176446,176087,171968,180699	iars-1,C14H10.3,nex-2,mtx-2,uba-5,C52B9.4
GSE9509_10MIN_VS_30MIN_LPS_AND_IL10_STIM_IL10_KO_MACROPHAGE_UP	GSE9509_10MIN_VS_30MIN_LPS_AND_IL10_STIM_IL10_KO_MACROPHAGE_UP	0.00277172160999626	-5.88828663199212	58	6	0.0689655172413793	87	3519	174594,176546,175108,180870,173857,175069	clpp-1,cku-70,dhs-8,C09B8.4,ndx-3,Y48B6A.1
GSE32986_GMCSF_AND_CURDLAN_LOWDOSE_VS_GMCSF_AND_CURDLAN_HIGHDOSE_STIM_DC_UP	GSE32986_GMCSF_AND_CURDLAN_LOWDOSE_VS_GMCSF_AND_CURDLAN_HIGHDOSE_STIM_DC_UP	0.0030252419203887	-5.80076421701484	59	6	0.0689655172413793	87	3519	172249,190611,181232,189590,174999,176717	lin-35,laf-1,C14H10.3,vps-4,Y48E1B.3,ZK1010.2
GSE11961_MARGINAL_ZONE_BCELL_VS_GERMINAL_CENTER_BCELL_DAY7_DN	GSE11961_MARGINAL_ZONE_BCELL_VS_GERMINAL_CENTER_BCELL_DAY7_DN	0.00305883902994306	-5.78971983698838	41	5	0.0574712643678161	87	3519	181490,172249,179789,189590,174999	pix-1,lin-35,W07G4.3,vps-4,Y48E1B.3
KUMAR_TARGETS_OF_MLL_AF9_FUSION	KUMAR_TARGETS_OF_MLL_AF9_FUSION	0.00349571314335268	-5.6562178773721	81	7	0.0804597701149425	87	3519	189837,266646,179945,174342,172959,188555,181232	gbb-1,sptl-2,dlat-1,F14E5.2,eif-3.E,pqn-68,C14H10.3
GSE27786_BCELL_VS_NKCELL_UP	GSE27786_BCELL_VS_NKCELL_UP	0.00389051227796197	-5.54921443902949	62	6	0.0689655172413793	87	3519	177926,3564807,172067,175394,175588,174594	iars-1,gsp-2,C44E4.5,Y71H2AM.6,cct-5,clpp-1
HNF3_Q6	HNF3_Q6	0.0039611353436947	-5.53122459185398	27	4	0.0459770114942529	87	3519	186828,176316,172505,191700	K01A11.2,crn-6,goa-1,lbp-5
GSE19401_UNSTIM_VS_RETINOIC_ACID_STIM_FOLLICULAR_DC_UP	GSE19401_UNSTIM_VS_RETINOIC_ACID_STIM_FOLLICULAR_DC_UP	0.0042161603555693	-5.46883043346418	63	6	0.0689655172413793	87	3519	174594,3564807,174543,182643,174914,177857	clpp-1,gsp-2,vgln-1,C15H9.4,spds-1,C47E12.3
GSE9509_10MIN_VS_30MIN_LPS_AND_IL10_STIM_IL10_KO_MACROPHAGE_DN	GSE9509_10MIN_VS_30MIN_LPS_AND_IL10_STIM_IL10_KO_MACROPHAGE_DN	0.00453525682988479	-5.39587356418845	28	4	0.0459770114942529	87	3519	172249,174543,266646,172060	lin-35,vgln-1,sptl-2,D1007.5
GSE12366_GC_BCELL_VS_PLASMA_CELL_DN	GSE12366_GC_BCELL_VS_PLASMA_CELL_DN	0.00507904197230674	-5.28263262330532	46	5	0.0574712643678161	87	3519	172060,175108,171968,176231,174543	D1007.5,dhs-8,uba-5,mig-22,vgln-1
NIKOLSKY_BREAST_CANCER_8Q23_Q24_AMPLICON	NIKOLSKY_BREAST_CANCER_8Q23_Q24_AMPLICON	0.00516298491577602	-5.26624039468951	29	4	0.0459770114942529	87	3519	178419,175069,172067,187641	eef-1B.2,Y48B6A.1,C44E4.5,R06C7.6
MILI_PSEUDOPODIA_CHEMOTAXIS_UP	MILI_PSEUDOPODIA_CHEMOTAXIS_UP	0.00535626006282583	-5.22948929691268	15	3	0.0344827586206897	87	3519	172959,174999,180545	eif-3.E,Y48E1B.3,C43H6.3
PATIL_LIVER_CANCER	PATIL_LIVER_CANCER	0.00553143415473057	-5.19730815625164	213	12	0.137931034482759	87	3519	171998,177926,182643,188555,172959,179789,172171,179875,3565030,175588,176515,179000	E01A2.1,iars-1,C15H9.4,pqn-68,eif-3.E,W07G4.3,cln-3.2,swan-2,flad-1,cct-5,oxi-1,F17A9.2
GSE3039_NKT_CELL_VS_ALPHAALPHA_CD8_TCELL_UP	GSE3039_NKT_CELL_VS_ALPHAALPHA_CD8_TCELL_UP	0.00557490486947602	-5.18948002555266	47	5	0.0574712643678161	87	3519	175905,171756,180870,175721,181232	C16A3.4,scm-1,C09B8.4,gop-1,C14H10.3
