TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
R-CEL-1655829	Regulation of cholesterol biosynthesis by SREBP (SREBF)	0.00462198603041753	-5.37693078954526	17	3	0.0461538461538462	65	3154	190207,176616,176574	elo-9,Y56A3A.2,sbp-1
R-CEL-72662	Activation of the mRNA upon binding of the cap-binding complex and eIFs, and subsequent binding to 43S	0.00821643409221643	-4.80161897276907	7	2	0.0307692307692308	65	3154	176755,174871	ife-1,ife-5
R-CEL-196843	Vitamin B2 (riboflavin) metabolism	0.00821643409221643	-4.80161897276907	7	2	0.0307692307692308	65	3154	187789,3565030	R10H10.6,flad-1
R-CEL-196854	Metabolism of vitamins and cofactors	0.00975417164279004	-4.63006022467973	90	6	0.0923076923076923	65	3154	3565644,3565030,187789,175394,191700,181225	cblc-1,flad-1,R10H10.6,Y71H2AM.6,lbp-5,moc-1
R-CEL-5362517	Signaling by Retinoic Acid	0.0124147651589355	-4.38886877611429	24	3	0.0461538461538462	65	3154	191700,179945,172183	lbp-5,dlat-1,dhs-2
R-CEL-196849	Metabolism of water-soluble vitamins and cofactors	0.0171618078687823	-4.06506883681298	74	5	0.0769230769230769	65	3154	181225,187789,3565030,3565644,175394	moc-1,R10H10.6,flad-1,cblc-1,Y71H2AM.6
R-CEL-1430728	Metabolism	0.0289753684862064	-3.54130917245302	943	27	0.415384615384615	65	3154	171998,183546,176574,174543,176231,172389,172620,175787,173940,181495,187789,171839,181225,179945,173942,180386,190207,3565030,180037,3565644,174914,176616,177984,177548,175394,180309,191700	E01A2.1,cdd-1,sbp-1,vgln-1,mig-22,mec-6,C34B7.2,pst-2,acdh-2,obr-3,R10H10.6,Y71F9B.9,moc-1,dlat-1,C17C3.1,gcp-2.1,elo-9,flad-1,ech-1.1,cblc-1,spds-1,Y56A3A.2,pyk-2,F33D4.4,Y71H2AM.6,abhd-3.1,lbp-5
R-CEL-2426168	Activation of gene expression by SREBF (SREBP)	0.0324495894617435	-3.42806748732213	14	2	0.0307692307692308	65	3154	176574,190207	sbp-1,elo-9
R-CEL-73923	Lipid digestion, mobilization, and transport	0.034206390289142	-3.37534280180826	35	3	0.0461538461538462	65	3154	176616,174543,191700	Y56A3A.2,vgln-1,lbp-5
R-CEL-174800	Chylomicron-mediated lipid transport	0.0407991825075885	-3.19909323435147	2	1	0.0153846153846154	65	3154	176616	Y56A3A.2
R-CEL-5365859	RA biosynthesis pathway	0.051764032941887	-2.96105971563687	18	2	0.0307692307692308	65	3154	172183,191700	dhs-2,lbp-5
R-CEL-2046106	alpha-linolenic acid (ALA) metabolism	0.051764032941887	-2.96105971563687	18	2	0.0307692307692308	65	3154	173942,190207	C17C3.1,elo-9
R-CEL-2046104	alpha-linolenic (omega3) and linoleic (omega6) acid metabolism	0.051764032941887	-2.96105971563687	18	2	0.0307692307692308	65	3154	173942,190207	C17C3.1,elo-9
R-CEL-917729	Endosomal Sorting Complex Required For Transport (ESCRT)	0.0571015041073007	-2.86292482103312	19	2	0.0307692307692308	65	3154	174091,189590	vps-32.1,vps-4
R-CEL-174824	Lipoprotein metabolism	0.0571015041073007	-2.86292482103312	19	2	0.0307692307692308	65	3154	176616,174543	Y56A3A.2,vgln-1
