TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
GO_SYNAPTIC_SIGNALING	GO_SYNAPTIC_SIGNALING	1.7033417677655e-27	-61.6372054435826	106	46	0.19327731092437	238	3519	191240,176691,176694,181400,191601,174258,178274,180565,173929,191597,174803,176713,179347,179962,172270,178930,179235,180970,180002,191770,175999,177790,172105,176204,174120,180752,180570,180562,174105,176304,172497,174685,181644,179503,171933,175545,176431,179193,191707,180837,175943,176987,181030,176758,179251,176291	gbb-2,gab-1,lgc-37,lin-2,acr-14,glr-4,cho-1,ser-7,nmr-1,acr-9,gpb-1,unc-25,dop-2,gar-3,avr-14,glc-3,acr-16,tyra-2,nmr-2,snf-11,glr-2,npr-2,unc-38,glr-1,snt-1,npr-1,unc-2,F54G2.1,rpy-1,dat-1,unc-13,ptp-3,dyn-1,nrx-1,ccb-1,mpk-1,unc-47,snap-1,mgl-1,cat-1,rbf-1,snn-1,unc-18,lis-1,glr-5,eat-4
GO_SYNAPSE	GO_SYNAPSE	3.26443539438561e-26	-58.6841255967516	176	57	0.239495798319328	238	3519	173929,178274,3565651,174258,191601,181400,176691,176694,177940,191240,179235,178930,174006,179962,172270,177078,176713,191597,181414,175341,266844,266842,266648,174105,180562,185321,180570,174120,172105,176204,175999,178409,180002,176250,176291,179251,180995,176987,180252,181030,175943,180837,191707,174097,179193,186950,176431,179503,171933,181644,171756,188774,184469,173971,179361,172497,176415	nmr-1,cho-1,gopc-1,glr-4,acr-14,lin-2,gab-1,lgc-37,egl-21,gbb-2,acr-16,glc-3,casy-1,gar-3,avr-14,lad-2,unc-25,acr-9,rgs-2,ckr-2,stn-1,nsf-1,snb-1,rpy-1,F54G2.1,npr-7,unc-2,snt-1,unc-38,glr-1,glr-2,Y57G11C.22,nmr-2,svop-1,eat-4,glr-5,sng-1,snn-1,twk-46,unc-18,rbf-1,cat-1,mgl-1,T19D12.6,snap-1,neto-1,unc-47,nrx-1,ccb-1,dyn-1,scm-1,ckr-1,octr-1,rab-3,xbx-6,unc-13,rgs-1
GO_CELL_CELL_SIGNALING	GO_CELL_CELL_SIGNALING	5.12509342819761e-26	-58.2330636630947	135	50	0.210084033613445	238	3519	178274,180565,173929,191240,176694,176691,181400,174258,191601,191597,174803,176713,179962,172270,179347,178930,179235,175341,175999,177790,172105,176204,174120,180752,180562,180570,174105,180970,180002,191770,180837,175943,176758,176987,181030,179251,176291,176304,172497,174685,173685,171933,181644,179503,188774,176431,175545,180714,179193,191707	cho-1,ser-7,nmr-1,gbb-2,lgc-37,gab-1,lin-2,glr-4,acr-14,acr-9,gpb-1,unc-25,gar-3,avr-14,dop-2,glc-3,acr-16,ckr-2,glr-2,npr-2,unc-38,glr-1,snt-1,npr-1,F54G2.1,unc-2,rpy-1,tyra-2,nmr-2,snf-11,cat-1,rbf-1,lis-1,snn-1,unc-18,glr-5,eat-4,dat-1,unc-13,ptp-3,nep-11,ccb-1,dyn-1,nrx-1,ckr-1,unc-47,mpk-1,dop-1,snap-1,mgl-1
REACTOME_NEURONAL_SYSTEM	REACTOME_NEURONAL_SYSTEM	1.44643252140731e-25	-57.1955271300681	76	38	0.159663865546218	238	3519	191770,180002,175622,180570,174120,172105,176204,171712,175999,178409,175545,176431,171933,172483,176291,179251,176987,180252,181030,180837,191601,174258,176691,176694,191240,191695,173929,178274,174536,184091,266842,266648,179235,181269,176713,181166,174803,191597	snf-11,nmr-2,acy-1,unc-2,snt-1,unc-38,glr-1,spe-15,glr-2,Y57G11C.22,mpk-1,unc-47,ccb-1,gpb-2,eat-4,glr-5,snn-1,twk-46,unc-18,cat-1,acr-14,glr-4,gab-1,lgc-37,gbb-2,irk-2,nmr-1,cho-1,shk-1,aps-2,nsf-1,snb-1,acr-16,egl-36,unc-25,pkc-2,gpb-1,acr-9
GO_SYNAPSE_PART	GO_SYNAPSE_PART	1.63670899344151e-24	-54.76935471748	150	51	0.214285714285714	238	3519	176415,173971,172497,179361,186950,176431,181644,188774,179503,171756,191707,179193,180837,175943,179251,176987,180995,181030,176291,176250,180002,175999,178409,176204,172105,180570,185321,180562,174120,174105,266648,266842,175341,181414,176713,191597,174006,172270,179962,178930,179235,176694,176691,177940,191240,181400,191601,174258,3565651,178274,173929	rgs-1,rab-3,unc-13,xbx-6,neto-1,unc-47,dyn-1,ckr-1,nrx-1,scm-1,mgl-1,snap-1,cat-1,rbf-1,glr-5,snn-1,sng-1,unc-18,eat-4,svop-1,nmr-2,glr-2,Y57G11C.22,glr-1,unc-38,unc-2,npr-7,F54G2.1,snt-1,rpy-1,snb-1,nsf-1,ckr-2,rgs-2,unc-25,acr-9,casy-1,avr-14,gar-3,glc-3,acr-16,lgc-37,gab-1,egl-21,gbb-2,lin-2,acr-14,glr-4,gopc-1,cho-1,nmr-1
REACTOME_TRANSMISSION_ACROSS_CHEMICAL_SYNAPSES	REACTOME_TRANSMISSION_ACROSS_CHEMICAL_SYNAPSES	4.60910222167492e-24	-53.7340091396546	64	34	0.142857142857143	238	3519	180837,176291,181030,176987,179251,172483,171933,175545,176431,172105,176204,171712,175999,178409,175622,174120,180570,180002,191770,191597,181166,174803,176713,179235,266842,184091,178274,173929,191240,191695,176694,176691,174258,191601	cat-1,eat-4,unc-18,snn-1,glr-5,gpb-2,ccb-1,mpk-1,unc-47,unc-38,glr-1,spe-15,glr-2,Y57G11C.22,acy-1,snt-1,unc-2,nmr-2,snf-11,acr-9,pkc-2,gpb-1,unc-25,acr-16,nsf-1,aps-2,cho-1,nmr-1,gbb-2,irk-2,lgc-37,gab-1,glr-4,acr-14
KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION	KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION	4.52706293847477e-22	-49.1467986746016	54	30	0.126050420168067	238	3519	175999,177790,180565,172105,176204,180752,185321,173929,191240,184471,176694,176691,180970,180002,175322,191601,174258,191597,172270,179347,179962,178930,179251,179235,184469,188774,175341,183595,180714,191707	glr-2,npr-2,ser-7,unc-38,glr-1,npr-1,npr-7,nmr-1,gbb-2,ntr-2,lgc-37,gab-1,tyra-2,nmr-2,ser-4,acr-14,glr-4,acr-9,avr-14,dop-2,gar-3,glc-3,glr-5,acr-16,octr-1,ckr-1,ckr-2,tkr-2,dop-1,mgl-1
GO_INTRINSIC_COMPONENT_OF_PLASMA_MEMBRANE	GO_INTRINSIC_COMPONENT_OF_PLASMA_MEMBRANE	8.71813195545009e-22	-48.4914670561901	263	64	0.26890756302521	238	3519	191770,172834,184471,180970,175622,174024,180752,185321,175999,183595,191707,179503,184469,176304,175563,180252,180837,191601,183650,179172,179788,191695,191240,173929,173053,180206,174536,175341,182212,189033,179235,178930,177078,179347,179962,181269,191597,181534,175322,180002,181101,191422,172105,176204,177790,180714,188774,186950,174685,181035,192062,179251,174258,176202,176691,176694,181332,178274,191509,180565,181728,266648,177494,172270	snf-11,ncx-4,ntr-2,tyra-2,acy-1,abts-3,npr-1,npr-7,glr-2,tkr-2,mgl-1,nrx-1,octr-1,dat-1,B0285.6,twk-46,cat-1,acr-14,C50D2.2,abhd-12,fmi-1,irk-2,gbb-2,nmr-1,scrm-1,hmit-1.2,shk-1,ckr-2,scrm-3,del-4,acr-16,glc-3,lad-2,dop-2,gar-3,egl-36,acr-9,del-1,ser-4,nmr-2,mec-10,asic-1,unc-38,glr-1,npr-2,dop-1,ckr-1,neto-1,ptp-3,deg-1,tsp-7,glr-5,glr-4,trp-1,gab-1,lgc-37,slo-2,cho-1,scrm-2,ser-7,mec-4,snb-1,unc-8,avr-14
GO_RECEPTOR_ACTIVITY	GO_RECEPTOR_ACTIVITY	3.38598406418855e-19	-42.5294721895696	156	46	0.19327731092437	238	3519	173929,180565,181728,191601,174258,179788,191240,191695,176691,176694,179235,177494,178930,172270,179347,179962,187288,191597,181534,175341,189033,180752,174383,181101,185321,191422,176204,172105,177790,175999,175322,179729,180002,184471,180970,176291,181035,180252,179251,183595,180714,191707,179503,188774,174685,184469	nmr-1,ser-7,mec-4,acr-14,glr-4,fmi-1,gbb-2,irk-2,gab-1,lgc-37,acr-16,unc-8,glc-3,avr-14,dop-2,gar-3,K11C4.2,acr-9,del-1,ckr-2,del-4,npr-1,chhy-1,mec-10,npr-7,asic-1,glr-1,unc-38,npr-2,glr-2,ser-4,ZC116.3,nmr-2,ntr-2,tyra-2,eat-4,deg-1,twk-46,glr-5,tkr-2,dop-1,mgl-1,nrx-1,ckr-1,ptp-3,octr-1
GO_GATED_CHANNEL_ACTIVITY	GO_GATED_CHANNEL_ACTIVITY	5.64734926081118e-19	-42.0179304891958	70	31	0.130252100840336	238	3519	174536,171933,178395,189033,179235,177494,176291,181035,179251,180252,178930,172270,181269,181534,191597,191601,174258,180002,176691,177379,176694,191695,173929,181332,180570,181101,176204,181728,172105,191422,175999	shk-1,ccb-1,anoh-2,del-4,acr-16,unc-8,eat-4,deg-1,glr-5,twk-46,glc-3,avr-14,egl-36,del-1,acr-9,acr-14,glr-4,nmr-2,gab-1,unc-77,lgc-37,irk-2,nmr-1,slo-2,unc-2,mec-10,glr-1,mec-4,unc-38,asic-1,glr-2
