TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
GO:0061024	membrane organization	0.000207931295003363	-8.47830284531197	159	21	0.0408560311284047	514	9166	188509,180317,178361,174968,179838,185826,173927,176758,174476,186264,175243,189585,178060,176233,184340,176922,176460,173149,181480,177216,172259	aex-4,sec-23,lst-4,romo-1,cav-2,scrm-6,F07F6.4,lis-1,eat-3,F54H5.3,moma-1,Y34B4A.2,sec-31,snap-29,scrm-4,rbm-39,ymel-1,gsk-3,unc-84,rfth-1,vpr-1
GO:0016071	mRNA metabolic process	0.00140929840027748	-6.56466328688596	234	25	0.0486381322957198	514	9166	177566,175574,180069,174689,176922,171936,177397,173967,174646,175900,176328,175971,172920,178599,183627,173401,175132,178184,175059,3565706,176343,172076,177003,180180,178489	rsp-6,R07E5.1,cwc-15,let-858,rbm-39,D1037.1,smg-3,tiar-1,rsp-7,thoc-2,spk-1,let-711,pab-1,Y50D4C.3,C49H3.4,etr-1,smg-9,ccr-4,xrn-1,hrpl-1,ZK1098.1,ain-2,cpsf-1,prp-6,uaf-2
GO:0034063	stress granule assembly	0.00161025813863552	-6.43136077828176	5	3	0.00583657587548638	514	9166	176465,173967,174953	atx-2,tiar-1,gcn-2
GO:0009411	response to UV	0.00214167414969708	-6.14616744285309	25	6	0.0116731517509728	514	9166	172981,179243,174953,173967,187120,178725	daf-16,smk-1,gcn-2,tiar-1,xpa-1,gst-10
GO:0001709	cell fate determination	0.00239476464361617	-6.03447032283692	34	7	0.0136186770428016	514	9166	177084,180833,171849,179912,176465,175802,178629	eel-1,egl-13,pop-1,par-1,atx-2,wrm-1,rga-4
GO:0090110	COPII-coated vesicle cargo loading	0.0031388326531161	-5.76390431470782	2	2	0.00389105058365759	514	9166	178060,180317	sec-31,sec-23
GO:0035459	vesicle cargo loading	0.0031388326531161	-5.76390431470782	2	2	0.00389105058365759	514	9166	178060,180317	sec-31,sec-23
GO:0061062	regulation of nematode larval development	0.00364463633245925	-5.61449869011515	160	18	0.0350194552529183	514	9166	174830,178887,190028,177486,191378,174953,172920,178970,181727,181153,171849,172981,179878,176183,181055,180611,175781,173945	lin-29,tam-1,lin-38,hecd-1,ZK662.5,gcn-2,pab-1,let-418,aak-2,vav-1,pop-1,daf-16,sel-10,met-2,sem-5,rgl-1,daf-4,cdc-14
GO:0048580	regulation of post-embryonic development	0.00364463633245925	-5.61449869011515	160	18	0.0350194552529183	514	9166	190028,177486,174830,178887,172920,178970,191378,174953,172981,181727,181153,171849,173945,179878,180611,181055,176183,175781	lin-38,hecd-1,lin-29,tam-1,pab-1,let-418,ZK662.5,gcn-2,daf-16,aak-2,vav-1,pop-1,cdc-14,sel-10,rgl-1,sem-5,met-2,daf-4
GO:0048284	organelle fusion	0.00396272386252416	-5.5308236461003	37	7	0.0136186770428016	514	9166	176233,178361,189585,180800,176460,188509,174476	snap-29,lst-4,Y34B4A.2,vps-41,ymel-1,aex-4,eat-3
GO:0009416	response to light stimulus	0.00396272386252416	-5.5308236461003	37	7	0.0136186770428016	514	9166	172981,186448,179243,173967,174953,178725,187120	daf-16,F57C9.6,smk-1,tiar-1,gcn-2,gst-10,xpa-1
GO:0040028	regulation of vulval development	0.00444357584636839	-5.41629585587136	102	13	0.0252918287937743	514	9166	178887,181153,171849,190028,177486,181055,180611,176183,179878,191378,178970,173945,172920	tam-1,vav-1,pop-1,lin-38,hecd-1,sem-5,rgl-1,met-2,sel-10,ZK662.5,let-418,cdc-14,pab-1
GO:1905936	regulation of germ cell proliferation	0.00517752612782193	-5.26342791829067	7	3	0.00583657587548638	514	9166	172920,177486,176465	pab-1,hecd-1,atx-2
