TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
1.20.58.760	-	0.0094966151921556	-4.65681983942656	3	2	0.00638977635782748	313	5448	176460,177021	ymel-1,ppgn-1
3.20.110.10	-	0.0094966151921556	-4.65681983942656	3	2	0.00638977635782748	313	5448	180749,172178	aman-1,aman-3
1.20.1270.50	-	0.0094966151921556	-4.65681983942656	3	2	0.00638977635782748	313	5448	172178,180749	aman-3,aman-1
3.30.50.10	-	0.00955370936013139	-4.65082578522951	266	25	0.0798722044728434	313	5448	182297,187411,191409,4363091,190264,184235,178569,188210,180115,191203,178685,187520,182533,191720,183181,178813,175462,180062,173641,191322,172840,182276,187519,187822,188826	nhr-150,nhr-123,nhr-256,nhr-286,nhr-239,nhr-262,nhr-99,nhr-214,nhr-112,nhr-252,nhr-86,nhr-125,nhr-152,nhr-38,nhr-162,nhr-57,nhr-6,nhr-102,nhr-88,hizr-1,nhr-69,nhr-76,nhr-204,nhr-132,nhr-221
3.40.20.10	-	0.0166600822253904	-4.094739706758	10	3	0.00958466453674121	313	5448	181711,180317,172089	twf-2,sec-23,viln-1
1.10.565.10	-	0.0216736713926746	-3.83165705495667	243	22	0.0702875399361022	313	5448	182533,187520,183181,175462,178813,180062,172840,191322,173641,187519,182276,188826,187822,182297,187411,191409,4363091,184235,178569,188210,191203,178685	nhr-152,nhr-125,nhr-162,nhr-6,nhr-57,nhr-102,nhr-69,hizr-1,nhr-88,nhr-204,nhr-76,nhr-221,nhr-132,nhr-150,nhr-123,nhr-256,nhr-286,nhr-262,nhr-99,nhr-214,nhr-252,nhr-86
1.25.40.180	-	0.0219494684848023	-3.81901235456952	11	3	0.00958466453674121	313	5448	177397,175971,174689	smg-3,let-711,let-858
3.30.70.330	-	0.0418052741741348	-3.17473277099629	120	12	0.0383386581469649	313	5448	173967,175844,178489,172920,181473,176922,174646,177566,173401,3565706,177710,171656	tiar-1,nono-1,uaf-2,pab-1,pab-2,rbm-39,rsp-7,rsp-6,etr-1,hrpl-1,cfim-2,cus-2
3.40.390.10	-	0.0473612983157846	-3.04994987501979	83	9	0.0287539936102236	313	5448	186911,3565986,190803,174412,175491,186926,173730,177850,188819	nep-18,nas-39,nas-30,nas-25,toh-1,nas-19,nep-3,gon-1,nas-5
3.40.33.10	-	0.0477064203375161	-3.0426892918746	35	5	0.0159744408945687	313	5448	188436,181273,191309,188097,183344	scl-18,vap-2,scl-20,T05A10.6,scl-7
1.25.40.840	-	0.0574522760647201	-2.85680065728729	1	1	0.00319488817891374	313	5448	175971	let-711
3.40.50.10380	-	0.0574522760647201	-2.85680065728729	1	1	0.00319488817891374	313	5448	175079	men-1
