TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
SM00801	dDENN	0.00238523003787493	-6.03845970735385	5	3	0.00857142857142857	350	5448	185870,180420,174146	rme-4,aex-3,lst-6
SM00800	uDENN	0.00238523003787493	-6.03845970735385	5	3	0.00857142857142857	350	5448	174146,185870,180420	lst-6,rme-4,aex-3
SM00799	DENN	0.00238523003787493	-6.03845970735385	5	3	0.00857142857142857	350	5448	185870,180420,174146	rme-4,aex-3,lst-6
SM00179	EGF_CA	0.00393485846688394	-5.53788036551466	41	8	0.0228571428571429	350	5448	175632,179770,3565986,190561,3564809,176430,179729,183369	B0393.5,nid-1,nas-39,egas-2,egas-4,mua-3,ZC116.3,C40H5.2
SM00517	PolyA	0.00411622396786509	-5.49281904852933	2	2	0.00571428571428571	350	5448	172920,181473	pab-1,pab-2
SM00361	RRM_1	0.0075243314855587	-4.88961331142204	13	4	0.0114285714285714	350	5448	178489,176922,173967,172920	uaf-2,rbm-39,tiar-1,pab-1
SM00333	TUDOR	0.0115490048355535	-4.46115600715039	8	3	0.00857142857142857	350	5448	172444,178599,176113	ekl-1,Y50D4C.3,tag-250
SM00872	Alpha-mann_mid	0.0118226175735235	-4.43774083860049	3	2	0.00571428571428571	350	5448	172178,180749	aman-3,aman-1
SM00119	HECTc	0.0165090864965328	-4.10384435289385	9	3	0.00857142857142857	350	5448	177486,177084,176515	hecd-1,eel-1,oxi-1
SM00399	ZnF_C4	0.0213776987539298	-3.84540701463533	255	25	0.0714285714285714	350	5448	187519,184235,4363091,187411,190264,187822,188210,172840,191322,182297,191203,191409,175462,187520,173641,180062,178685,178569,183181,191720,188826,178813,180115,182276,182533	nhr-204,nhr-262,nhr-286,nhr-123,nhr-239,nhr-132,nhr-214,nhr-69,hizr-1,nhr-150,nhr-252,nhr-256,nhr-6,nhr-125,nhr-88,nhr-102,nhr-86,nhr-99,nhr-162,nhr-38,nhr-221,nhr-57,nhr-112,nhr-76,nhr-152
SM00185	ARM	0.0224794755485268	-3.79515258392066	10	3	0.00857142857142857	350	5448	178204,175802,177533	F53B2.5,wrm-1,ima-3
SM00913	IBN_N	0.0226434132234111	-3.78788627625904	4	2	0.00571428571428571	350	5448	172110,179160	imb-1,xpo-1
SM00164	TBC	0.0300706914838183	-3.50420428644236	19	4	0.0114285714285714	350	5448	180444,174900,181511,180856	tbc-11,tbc-17,tbc-19,tbc-16
SM00645	Pept_C1	0.0352443456494233	-3.34545016969901	29	5	0.0142857142857143	350	5448	183116,190615,183111,180208,183677	C32B5.13,Y71H2AR.2,C32B5.7,Y51A2D.8,tag-329
SM00181	EGF	0.042805387112965	-3.15109131718964	73	9	0.0257142857142857	350	5448	179770,3565986,177292,175632,183369,179729,3564809,190561,176430	nid-1,nas-39,lam-1,B0393.5,C40H5.2,ZC116.3,egas-4,egas-2,mua-3
SM00430	HOLI	0.0498335216475006	-2.99906739594703	250	23	0.0657142857142857	350	5448	178569,178685,182533,182276,180115,178813,188826,183181,172840,187822,188210,187411,4363091,184235,187519,180062,173641,187520,175462,191409,191203,182297,191322	nhr-99,nhr-86,nhr-152,nhr-76,nhr-112,nhr-57,nhr-221,nhr-162,nhr-69,nhr-132,nhr-214,nhr-123,nhr-286,nhr-262,nhr-204,nhr-102,nhr-88,nhr-125,nhr-6,nhr-256,nhr-252,nhr-150,hizr-1
SM00543	MIF4G	0.0519513433165338	-2.9574477038976	6	2	0.00571428571428571	350	5448	177397,174689	smg-3,let-858
SM00593	RUN	0.0519513433165338	-2.9574477038976	6	2	0.00571428571428571	350	5448	174146,175037	lst-6,cup-14
SM00539	NIDO	0.0519513433165338	-2.9574477038976	6	2	0.00571428571428571	350	5448	179770,175632	nid-1,B0393.5
SM00233	PH	0.0591533935278973	-2.82762131864134	66	8	0.0228571428571429	350	5448	181524,173079,172870,180475,181511,179585,181153,180121	akt-2,rga-2,F10G8.8,pdk-1,tbc-19,F38B7.3,vav-1,dkf-2
SM01272	LsmAD	0.0642437591778219	-2.74507069334368	1	1	0.00285714285714286	350	5448	176465	atx-2
SM01123	DBP10CT	0.0642437591778219	-2.74507069334368	1	1	0.00285714285714286	350	5448	177054	Y94H6A.5
SM00635	BID_2	0.0642437591778219	-2.74507069334368	1	1	0.00285714285714286	350	5448	172348	npp-12
SM01087	COG6	0.0642437591778219	-2.74507069334368	1	1	0.00285714285714286	350	5448	179201	cogc-6
SM00548	IRO	0.0642437591778219	-2.74507069334368	1	1	0.00285714285714286	350	5448	172789	irx-1
SM00737	ML	0.0642437591778219	-2.74507069334368	1	1	0.00285714285714286	350	5448	175426	heh-1
SM00811	Alpha_kinase	0.0642437591778219	-2.74507069334368	1	1	0.00285714285714286	350	5448	175871	efk-1
SM00919	Malic_M	0.0642437591778219	-2.74507069334368	1	1	0.00285714285714286	350	5448	175079	men-1
SM01137	DMAP_binding	0.0642437591778219	-2.74507069334368	1	1	0.00285714285714286	350	5448	3565539	dip-2
SM01396	BC10	0.0642437591778219	-2.74507069334368	1	1	0.00285714285714286	350	5448	171724	Y73E7A.6
SM00685	DM14	0.0642437591778219	-2.74507069334368	1	1	0.00285714285714286	350	5448	173244	Y37H9A.3
SM00536	AXH	0.0642437591778219	-2.74507069334368	1	1	0.00285714285714286	350	5448	187002	K04F10.1
SM01274	malic	0.0642437591778219	-2.74507069334368	1	1	0.00285714285714286	350	5448	175079	men-1
SM00682	G2F	0.0642437591778219	-2.74507069334368	1	1	0.00285714285714286	350	5448	179770	nid-1
SM01102	CRM1_C	0.0642437591778219	-2.74507069334368	1	1	0.00285714285714286	350	5448	179160	xpo-1
SM00235	ZnMc	0.07195570648105	-2.63170453703491	46	6	0.0171428571428571	350	5448	175491,174412,3565986,186926,188819,190803	toh-1,nas-25,nas-39,nas-19,nas-5,nas-30
SM00398	HMG	0.0789512947843162	-2.5389241383603	16	3	0.00857142857142857	350	5448	175081,180833,171849	hmg-1.1,egl-13,pop-1
SM00044	CYCc	0.085579610309248	-2.4583082215298	37	5	0.0142857142857143	350	5448	184797,191648,191644,177584,175116	gcy-20,gcy-15,gcy-6,gcy-8,gcy-29
SM00458	RICIN	0.08908591356093	-2.41815405396327	8	2	0.00571428571428571	350	5448	176557,176736	gly-9,gly-5
SM00339	FH	0.104796248308137	-2.25573730632246	18	3	0.00857142857142857	350	5448	172981,172331,174721	daf-16,let-381,unc-130
SM00360	RRM	0.107041266770813	-2.23454084811682	100	10	0.0285714285714286	350	5448	181473,173401,3565706,177566,172920,173967,176922,174646,171656,175844	pab-2,etr-1,hrpl-1,rsp-6,pab-1,tiar-1,rbm-39,rsp-7,cus-2,nono-1
SM00184	RING	0.10846317941199	-2.22134452385551	113	11	0.0314285714285714	350	5448	176767,178887,178734,174939,178094,176084,172053,174051,173590,174872,173588	trf-1,tam-1,Y45G12B.2,Y38F1A.2,prx-2,ncl-1,rnf-145,C32D5.10,F43C11.8,Y57A10A.31,ZK1240.3
SM00314	RA	0.109822149865775	-2.20889304105481	9	2	0.00571428571428571	350	5448	180611,171776	rgl-1,afd-1
SM00116	CBS	0.109822149865775	-2.20889304105481	9	2	0.00571428571428571	350	5448	181736,174187	aakg-2,clh-3
SM00848	Inhibitor_I29	0.109822149865775	-2.20889304105481	9	2	0.00571428571428571	350	5448	180208,183677	Y51A2D.8,tag-329
SM00325	RhoGEF	0.118807290213464	-2.13025250850318	19	3	0.00857142857142857	350	5448	175756,4926960,181153	osg-1,Y37A1B.17,vav-1
SM01200	FerA	0.12437129438525	-2.08448387783467	2	1	0.00285714285714286	350	5448	188128	ferl-1
SM00391	MBD	0.12437129438525	-2.08448387783467	2	1	0.00285714285714286	350	5448	176183	met-2
SM00200	SEA	0.12437129438525	-2.08448387783467	2	1	0.00285714285714286	350	5448	176430	mua-3
SM00785	AARP2CN	0.12437129438525	-2.08448387783467	2	1	0.00285714285714286	350	5448	178851	Y61A9LA.10
SM00299	CLH	0.12437129438525	-2.08448387783467	2	1	0.00285714285714286	350	5448	180800	vps-41
SM00695	DUSP	0.12437129438525	-2.08448387783467	2	1	0.00285714285714286	350	5448	177437	H34C03.2
SM01003	AlaDh_PNT_N	0.12437129438525	-2.08448387783467	2	1	0.00285714285714286	350	5448	176842	aass-1
SM00415	HSF	0.12437129438525	-2.08448387783467	2	1	0.00285714285714286	350	5448	173078	hsf-1
SM01362	DUF663	0.12437129438525	-2.08448387783467	2	1	0.00285714285714286	350	5448	178851	Y61A9LA.10
SM00736	CADG	0.12437129438525	-2.08448387783467	2	1	0.00285714285714286	350	5448	180946	sgca-1
SM01201	FerB	0.12437129438525	-2.08448387783467	2	1	0.00285714285714286	350	5448	188128	ferl-1
