TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
GO:0004842	ubiquitin-protein transferase activity	6.40297965696707e-05	-9.65616201154824	147	13	0.0565217391304348	230	9362	172986,171893,179720,178006,171700,174295,186094,181445,174939,181321,177526,181446,173308	marc-6,Y54E10A.11,sel-1,let-70,herc-1,ufd-2,F52C6.12,skr-20,Y38F1A.2,vhl-1,R05G6.4,skr-19,Y105E8A.14
GO:0019787	ubiquitin-like protein transferase activity	0.000134055059783498	-8.91725994850044	158	13	0.0565217391304348	230	9362	172986,178006,179720,171893,171700,174295,186094,181445,174939,181321,177526,181446,173308	marc-6,let-70,sel-1,Y54E10A.11,herc-1,ufd-2,F52C6.12,skr-20,Y38F1A.2,vhl-1,R05G6.4,skr-19,Y105E8A.14
GO:0019899	enzyme binding	0.000640032315685249	-7.3539918896271	448	23	0.1	230	9362	175764,186094,172088,185870,176257,181209,174332,173067,178006,174941,174848,173753,173748,171696,174295,175610,172574,181527,172064,176231,173654,177286,172915	F09F7.5,F52C6.12,let-502,rme-4,unc-32,cysl-1,ran-3,eif-2Bbeta,let-70,cyd-1,cnt-1,cpna-1,rhgf-2,smg-2,ufd-2,ppm-2,rbg-2,sym-4,nrd-1,mig-22,Y25C1A.7,soc-2,cup-2
GO:0003954	NADH dehydrogenase activity	0.000656531930519975	-7.32853922790232	17	4	0.0173913043478261	230	9362	174696,179850,172363,175397	nuo-1,F53F4.10,nuo-2,Y71H2AM.4
GO:0051020	GTPase binding	0.000975225719466836	-6.9328416066146	147	11	0.0478260869565217	230	9362	172088,185870,174332,172574,181527,173067,173654,177286,174848,173748,175764	let-502,rme-4,ran-3,rbg-2,sym-4,eif-2Bbeta,Y25C1A.7,soc-2,cnt-1,rhgf-2,F09F7.5
GO:0003824	catalytic activity	0.00119049528349329	-6.7333858538316	4104	124	0.539130434782609	230	9362	178218,175922,179677,177609,181445,176703,175598,174978,176639,180860,178006,177998,174974,180737,180231,172232,176765,174438,174939,175862,179946,176733,177682,171893,179850,177743,190078,177675,178013,178460,175380,179488,174245,181464,172743,175980,175059,172782,176540,178403,173308,176707,173133,181005,175722,174385,181209,178779,174151,187773,172442,181321,176387,172587,177251,173657,172423,173271,173144,188484,177807,178073,186169,181223,177238,174295,178872,178863,186094,173176,179720,176661,173234,179127,172088,175071,171700,171696,177354,175091,173168,184226,181446,177893,179653,171755,174252,185709,178350,174696,175610,3564807,180773,177526,173142,178468,172221,175503,175233,171782,174775,174941,174839,175397,189866,178057,179670,176179,172363,173876,176361,180844,180770,176231,174138,3565889,180302,172986,177286,176206,175853,172778,180175,180018	ark-1,dlc-1,T04H1.2,isp-1,skr-20,spcs-2,idhg-1,Y48C3A.14,zyg-8,mig-23,let-70,mogs-1,mac-1,hosl-1,wars-1,T19B4.3,exo-1,gcs-1,Y38F1A.2,kin-18,fntb-1,abce-1,F21D5.6,Y54E10A.11,F53F4.10,wnk-1,cyh-1,hst-1,imp-2,Y51H4A.7,Y71H2B.5,mre-11,B0495.7,C29F7.3,eef-2,prk-1,xrn-1,usp-48,hmt-1,coq-3,Y105E8A.14,cox-5A,mcrs-1,gly-12,gop-2,pyr-1,cysl-1,T22F3.2,ZK1127.5,R10E4.9,nars-1,vhl-1,riok-3,ath-1,dpf-5,Y25C1A.13,cerk-1,F47G4.4,toe-4,T13G4.4,cka-1,M04B2.4,F53F1.3,W07E11.1,miro-1,ufd-2,adss-1,F39G3.5,F52C6.12,pmr-1,sel-1,rpt-6,dkf-1,gst-41,let-502,xrn-2,herc-1,smg-2,sams-4,agl-1,pbs-2,F09C3.2,skr-19,pps-1,F10C2.5,tag-96,B0228.7,msra-1,prdh-1,nuo-1,ppm-2,gsp-2,sek-3,R05G6.4,W02A11.1,map-2,F46F11.1,mmcm-1,ppm-1.G,abt-2,pcs-1,cyd-1,Y17G7B.3,Y71H2AM.4,nceh-1,klp-12,usip-1,unc-116,nuo-2,pld-1,tbg-1,gakh-1,ZC8.6,mig-22,eif-2Bgamma,crn-3,gly-4,marc-6,soc-2,C06E1.9,cyk-3,sac-1,usp-50,C01G10.7
GO:0017016	Ras GTPase binding	0.0019295733051618	-6.25045638591672	114	9	0.0391304347826087	230	9362	175764,173748,177286,174848,173654,172574,181527,185870,172088	F09F7.5,rhgf-2,soc-2,cnt-1,Y25C1A.7,rbg-2,sym-4,rme-4,let-502
GO:0031267	small GTPase binding	0.00204968608898754	-6.19006862488016	115	9	0.0391304347826087	230	9362	175764,173748,177286,174848,173654,172574,181527,172088,185870	F09F7.5,rhgf-2,soc-2,cnt-1,Y25C1A.7,rbg-2,sym-4,let-502,rme-4
GO:0008409	5'-3' exonuclease activity	0.00208685816136912	-6.17209561612473	11	3	0.0130434782608696	230	9362	176765,175059,175071	exo-1,xrn-1,xrn-2
GO:0032553	ribonucleotide binding	0.00436238316155575	-5.43473677426365	1140	42	0.182608695652174	230	9362	178218,179677,173176,176639,178006,176661,174974,173234,180231,172088,172232,171696,174033,174438,177354,175862,176733,177893,171755,177743,174696,181464,172743,180773,172748,175980,176540,172221,171782,175722,175801,174385,172442,178057,176387,176179,176361,172423,180844,181223,177238,178872	ark-1,T04H1.2,pmr-1,zyg-8,let-70,rpt-6,mac-1,dkf-1,wars-1,let-502,T19B4.3,smg-2,T24H7.2,gcs-1,sams-4,kin-18,abce-1,pps-1,tag-96,wnk-1,nuo-1,C29F7.3,eef-2,sek-3,tat-5,prk-1,hmt-1,F46F11.1,abt-2,gop-2,arf-1.2,pyr-1,nars-1,klp-12,riok-3,unc-116,tbg-1,cerk-1,gakh-1,W07E11.1,miro-1,adss-1
GO:0043168	anion binding	0.00452999744341526	-5.39703390385485	1385	49	0.21304347826087	230	9362	173180,171782,172221,176540,175980,174385,181209,185870,180783,174848,175801,175722,176361,180844,172423,173876,176179,172442,176387,178057,178872,181223,177238,176639,173176,179677,178218,172232,173234,180231,172088,174974,176661,178006,176733,175862,174438,177354,171696,174033,181464,174696,178350,172743,172748,180773,177743,177893,171755	F22G12.4,abt-2,F46F11.1,hmt-1,prk-1,pyr-1,cysl-1,rme-4,apl-1,cnt-1,arf-1.2,gop-2,tbg-1,gakh-1,cerk-1,pld-1,unc-116,nars-1,riok-3,klp-12,adss-1,W07E11.1,miro-1,zyg-8,pmr-1,T04H1.2,ark-1,T19B4.3,dkf-1,wars-1,let-502,mac-1,rpt-6,let-70,abce-1,kin-18,gcs-1,sams-4,smg-2,T24H7.2,C29F7.3,nuo-1,prdh-1,eef-2,tat-5,sek-3,wnk-1,pps-1,tag-96
GO:0061630	ubiquitin protein ligase activity	0.00511142783054555	-5.27627649490326	86	7	0.0304347826086957	230	9362	174295,181446,177526,171893,181321,174939,181445	ufd-2,skr-19,R05G6.4,Y54E10A.11,vhl-1,Y38F1A.2,skr-20
GO:0003723	RNA binding	0.00538564688456656	-5.22401784846376	591	25	0.108695652173913	230	9362	171696,172743,175800,180535,173204,176206,173006,180393,3565889,174138,172064,176870,174478,178847,180069,181473,179677,175844,176827,178012,175059,176604,3565706,173133,173067	smg-2,eef-2,rbm-26,rpl-11.2,snr-2,C06E1.9,Y52B11A.10,ife-2,crn-3,eif-2Bgamma,nrd-1,Y66H1A.4,eif-3.F,sut-2,cwc-15,pab-2,T04H1.2,nono-1,grld-1,rps-5,xrn-1,Y41C4A.9,hrpl-1,mcrs-1,eif-2Bbeta
GO:0061659	ubiquitin-like protein ligase activity	0.00579572838036364	-5.15063411891312	88	7	0.0304347826086957	230	9362	181446,174295,174939,181445,181321,171893,177526	skr-19,ufd-2,Y38F1A.2,skr-20,vhl-1,Y54E10A.11,R05G6.4
GO:0097367	carbohydrate derivative binding	0.00582739574421883	-5.14518507752433	1228	44	0.191304347826087	230	9362	181223,177238,178872,176387,178057,172442,176179,180844,172423,176361,175801,175722,180783,174385,175980,176540,173308,172221,171782,171755,177893,177743,180773,172748,172743,174696,181464,174033,171696,177354,174438,175862,176733,178006,174974,176661,172088,173234,180231,172232,178218,179677,173176,176639	W07E11.1,miro-1,adss-1,riok-3,klp-12,nars-1,unc-116,gakh-1,cerk-1,tbg-1,arf-1.2,gop-2,apl-1,pyr-1,prk-1,hmt-1,Y105E8A.14,F46F11.1,abt-2,tag-96,pps-1,wnk-1,sek-3,tat-5,eef-2,nuo-1,C29F7.3,T24H7.2,smg-2,sams-4,gcs-1,kin-18,abce-1,let-70,mac-1,rpt-6,let-502,dkf-1,wars-1,T19B4.3,ark-1,T04H1.2,pmr-1,zyg-8
GO:0036094	small molecule binding	0.00591173573990873	-5.13081579526816	1404	49	0.21304347826087	230	9362	178006,172799,174974,176661,173234,180231,172088,172232,178218,179677,175598,176639,173176,177893,171755,177743,181464,178350,174696,172743,172748,180773,171696,174033,174438,177354,175862,176733,175722,175801,181209,174385,175980,176540,172221,171782,175503,3565889,181223,177238,178872,172442,176387,178057,176179,190384,176361,172423,180844	let-70,ile-1,mac-1,rpt-6,dkf-1,wars-1,let-502,T19B4.3,ark-1,T04H1.2,idhg-1,zyg-8,pmr-1,pps-1,tag-96,wnk-1,C29F7.3,prdh-1,nuo-1,eef-2,tat-5,sek-3,smg-2,T24H7.2,gcs-1,sams-4,kin-18,abce-1,gop-2,arf-1.2,cysl-1,pyr-1,prk-1,hmt-1,F46F11.1,abt-2,mmcm-1,crn-3,W07E11.1,miro-1,adss-1,nars-1,riok-3,klp-12,unc-116,glb-32,tbg-1,cerk-1,gakh-1
GO:1901265	nucleoside phosphate binding	0.00655771944676026	-5.02711238177972	1271	45	0.195652173913043	230	9362	178218,179677,175598,176639,173176,178006,176661,174974,180231,173234,172088,172232,171696,174033,174438,177354,175862,176733,177893,171755,177743,178350,181464,174696,172748,180773,172743,175980,176540,172221,171782,175801,175722,174385,172442,176387,178057,176179,176361,180844,172423,3565889,181223,177238,178872	ark-1,T04H1.2,idhg-1,zyg-8,pmr-1,let-70,rpt-6,mac-1,wars-1,dkf-1,let-502,T19B4.3,smg-2,T24H7.2,gcs-1,sams-4,kin-18,abce-1,pps-1,tag-96,wnk-1,prdh-1,C29F7.3,nuo-1,tat-5,sek-3,eef-2,prk-1,hmt-1,F46F11.1,abt-2,arf-1.2,gop-2,pyr-1,nars-1,riok-3,klp-12,unc-116,tbg-1,gakh-1,cerk-1,crn-3,W07E11.1,miro-1,adss-1
GO:0000166	nucleotide binding	0.00655771944676026	-5.02711238177972	1271	45	0.195652173913043	230	9362	176639,173176,175598,179677,178218,172232,172088,180231,173234,174974,176661,178006,176733,175862,177354,174438,174033,171696,172743,180773,172748,181464,178350,174696,177743,171755,177893,171782,172221,176540,175980,174385,175801,175722,180844,172423,176361,176179,176387,178057,172442,178872,181223,177238,3565889	zyg-8,pmr-1,idhg-1,T04H1.2,ark-1,T19B4.3,let-502,wars-1,dkf-1,mac-1,rpt-6,let-70,abce-1,kin-18,sams-4,gcs-1,T24H7.2,smg-2,eef-2,sek-3,tat-5,C29F7.3,prdh-1,nuo-1,wnk-1,tag-96,pps-1,abt-2,F46F11.1,hmt-1,prk-1,pyr-1,arf-1.2,gop-2,gakh-1,cerk-1,tbg-1,unc-116,riok-3,klp-12,nars-1,adss-1,W07E11.1,miro-1,crn-3
GO:0016796	exonuclease activity, active with either ribo- or deoxyribonucleic acids and producing 5'-phosphomonoesters	0.00830262436042237	-4.79118362615378	33	4	0.0173913043478261	230	9362	176765,3565889,179488,175071	exo-1,crn-3,mre-11,xrn-2
GO:0008143	poly(A) binding	0.00844514462732912	-4.77416360307516	6	2	0.00869565217391304	230	9362	178847,181473	sut-2,pab-2
GO:0017137	Rab GTPase binding	0.0087097437285332	-4.74331291122186	52	5	0.0217391304347826	230	9362	185870,172574,181527,173654,174848	rme-4,rbg-2,sym-4,Y25C1A.7,cnt-1
GO:0008135	translation factor activity, RNA binding	0.00890792751018205	-4.72081366722879	73	6	0.0260869565217391	230	9362	173067,180393,179677,174138,174478,172743	eif-2Bbeta,ife-2,T04H1.2,eif-2Bgamma,eif-3.F,eef-2
