TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
SM00028	TPR	0.000855758324438897	-7.06352255294848	45	6	0.0434782608695652	138	5448	176335,175332,173625,175189,179275,181645	ctr-9,ttc-7,srpa-72,hpo-29,ttc-17,K09A9.6
SM00406	IGv	0.00369648312048702	-5.6003734193276	4	2	0.0144927536231884	138	5448	171990,266969	unc-89,ttn-1
SM00443	G_patch	0.00471642017519179	-5.35670520460324	14	3	0.0217391304347826	138	5448	174600,175574,174456	stip-1,R07E5.1,T23G7.3
SM00398	HMG	0.00699218930679443	-4.96296156622505	16	3	0.0217391304347826	138	5448	171849,175393,176052	pop-1,swsn-3,hmg-4
SM00325	RhoGEF	0.0114470513854872	-4.47002310306425	19	3	0.0217391304347826	138	5448	171990,180571,3564893	unc-89,cgef-1,Y105E8A.25
SM00451	ZnF_U1	0.0204069254180195	-3.89188095446723	9	2	0.0144927536231884	138	5448	190806,176090	Y95B8A.8,snu-23
SM01031	BHD_2	0.0253303964758267	-3.67575016266994	1	1	0.0072463768115942	138	5448	177002	xpc-1
SM01346	DUF3385	0.0253303964758267	-3.67575016266994	1	1	0.0072463768115942	138	5448	172167	let-363
SM00698	MORN	0.0253303964758267	-3.67575016266994	1	1	0.0072463768115942	138	5448	266843	jph-1
SM01030	BHD_1	0.0253303964758267	-3.67575016266994	1	1	0.0072463768115942	138	5448	177002	xpc-1
SM00707	RPEL	0.0253303964758267	-3.67575016266994	1	1	0.0072463768115942	138	5448	172753	F26H9.2
SM00310	PTBI	0.0253303964758267	-3.67575016266994	1	1	0.0072463768115942	138	5448	186242	rog-1
SM01128	DDRGK	0.0253303964758267	-3.67575016266994	1	1	0.0072463768115942	138	5448	176194	ufbp-1
SM00435	TOPEUc	0.0253303964758267	-3.67575016266994	1	1	0.0072463768115942	138	5448	266847	top-1
SM01125	DCP2	0.0253303964758267	-3.67575016266994	1	1	0.0072463768115942	138	5448	178321	dcap-2
SM01032	BHD_3	0.0253303964758267	-3.67575016266994	1	1	0.0072463768115942	138	5448	177002	xpc-1
SM01249	KASH	0.0253303964758267	-3.67575016266994	1	1	0.0072463768115942	138	5448	172034	anc-1
SM00408	IGc2	0.0369606807065232	-3.29790061499397	50	4	0.0289855072463768	138	5448	266969,178135,172706,171990	ttn-1,unc-22,madd-4,unc-89
SM00409	IG	0.0393449789185146	-3.23538691280637	51	4	0.0289855072463768	138	5448	171990,178135,266969,172706	unc-89,unc-22,ttn-1,madd-4
SM00360	RRM	0.040549979646851	-3.20522000034807	100	6	0.0434782608695652	138	5448	181473,13193758,174782,185193,184953,180791	pab-2,Y59E9AL.36,din-1,F32B4.4,ncbp-2,H28G03.1
SM00220	S_TKc	0.0471850191894366	-3.05367882682382	277	12	0.0869565217391304	138	5448	176554,266969,171911,191743,180695,3565400,172891,175599,179649,178135,175524,171872	rsks-1,ttn-1,cdk-2,pmk-1,hpk-1,max-2,csnk-1,sel-5,pkc-1,unc-22,kin-19,mek-2
SM00313	PXA	0.0500236965088002	-2.99525845564742	2	1	0.0072463768115942	138	5448	178482	snx-13
SM00572	DZF	0.0500236965088002	-2.99525845564742	2	1	0.0072463768115942	138	5448	190806	Y95B8A.8
SM01010	AMPKBI	0.0500236965088002	-2.99525845564742	2	1	0.0072463768115942	138	5448	176552	aakb-2
SM00167	VPS9	0.0500236965088002	-2.99525845564742	2	1	0.0072463768115942	138	5448	176481	rabx-5
SM00259	ZnF_A20	0.0500236965088002	-2.99525845564742	2	1	0.0072463768115942	138	5448	176481	rabx-5
SM00517	PolyA	0.0500236965088002	-2.99525845564742	2	1	0.0072463768115942	138	5448	181473	pab-2
SM00671	SEL1	0.0500236965088002	-2.99525845564742	2	1	0.0072463768115942	138	5448	179720	sel-1
SM00580	PUG	0.0500236965088002	-2.99525845564742	2	1	0.0072463768115942	138	5448	177253	ubxn-6
SM00472	MIR	0.0500236965088002	-2.99525845564742	2	1	0.0072463768115942	138	5448	177546	itr-1
SM01132	DIL	0.0500236965088002	-2.99525845564742	2	1	0.0072463768115942	138	5448	171776	afd-1
SM00873	B3_4	0.0500236965088002	-2.99525845564742	2	1	0.0072463768115942	138	5448	171890	Y54E10A.6
SM00060	FN3	0.070516946247187	-2.65190222574818	38	3	0.0217391304347826	138	5448	171990,178135,266969	unc-89,unc-22,ttn-1
