TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
R-CEL-73857	RNA Polymerase II Transcription	3.19529109968721e-06	-12.6538323632719	117	13	0.168831168831169	77	3154	192053,179443,175900,179371,174765,190298,179583,179345,173764,176052,175735,172065,182875	taf-7.1,K07C5.6,thoc-2,smg-4,gtf-2E2,gtf-2H5,pafo-1,rtfo-1,gtf-2F1,hmg-4,thoc-5,eaf-1,tag-72
R-CEL-74160	Gene Expression	2.34113957805407e-05	-10.6622876549778	531	28	0.363636363636364	77	3154	171833,179443,192053,178091,179115,187434,176052,188435,179583,182875,172065,172192,174765,178185,179371,177923,176003,176321,175900,172651,176362,173764,175735,179345,175818,190914,175536,190298	dnj-30,K07C5.6,taf-7.1,rbm-17,krr-1,gfl-1,hmg-4,bcas-2,pafo-1,tag-72,eaf-1,F27C1.6,gtf-2E2,wdr-46,smg-4,gkow-1,syf-2,T26G10.1,thoc-2,ddx-52,rpac-19,gtf-2F1,thoc-5,rtfo-1,ddx-23,Y105E8B.7,C16C10.2,gtf-2H5
R-CEL-73894	DNA Repair	4.04128066075254e-05	-10.1163638279938	88	10	0.12987012987013	77	3154	179158,187770,179678,190298,186441,176209,179096,174275,172278,179967	uvs-1,nth-1,rad-50,gtf-2H5,xpg-1,polk-1,mys-1,rev-1,csn-2,rfc-1
R-CEL-674695	RNA Polymerase II Pre-transcription Events	0.000243325844074266	-8.32110909074058	70	8	0.103896103896104	77	3154	192053,174765,190298,176052,173764,179583,179345,172065	taf-7.1,gtf-2E2,gtf-2H5,hmg-4,gtf-2F1,pafo-1,rtfo-1,eaf-1
R-CEL-72203	Processing of Capped Intron-Containing Pre-mRNA	0.000608355168474946	-7.40475168787647	144	11	0.142857142857143	77	3154	173764,188435,175735,175818,178091,175900,179443,177923,171833,176003,179371	gtf-2F1,bcas-2,thoc-5,ddx-23,rbm-17,thoc-2,K07C5.6,gkow-1,dnj-30,syf-2,smg-4
R-CEL-917729	Endosomal Sorting Complex Required For Transport (ESCRT)	0.000963648276303079	-6.94478418853759	19	4	0.051948051948052	77	3154	179242,182050,173863,171654	vps-60,C01A2.4,vps-24,vps-20
R-CEL-75955	RNA Polymerase II Transcription Elongation	0.0010555302256022	-6.8537120547977	49	6	0.0779220779220779	77	3154	173764,176052,179345,179583,172065,190298	gtf-2F1,hmg-4,rtfo-1,pafo-1,eaf-1,gtf-2H5
R-CEL-6781827	Transcription-Coupled Nucleotide Excision Repair (TC-NER)	0.00214022463272734	-6.14684448689301	56	6	0.0779220779220779	77	3154	190298,179967,179158,186441,176209,172278	gtf-2H5,rfc-1,uvs-1,xpg-1,polk-1,csn-2
R-CEL-5696400	Dual Incision in GG-NER	0.00326485396474506	-5.72454024474407	26	4	0.051948051948052	77	3154	176209,186441,179967,190298	polk-1,xpg-1,rfc-1,gtf-2H5
R-CEL-2559586	DNA Damage/Telomere Stress Induced Senescence	0.00341974346854586	-5.67818973991807	4	2	0.025974025974026	77	3154	179096,179678	mys-1,rad-50
R-CEL-5693548	Sensing of DNA Double Strand Breaks	0.00341974346854586	-5.67818973991807	4	2	0.025974025974026	77	3154	179678,179096	rad-50,mys-1
R-CEL-5696398	Nucleotide Excision Repair	0.00391212915202216	-5.54367351303393	63	6	0.0779220779220779	77	3154	179967,190298,186441,179158,172278,176209	rfc-1,gtf-2H5,xpg-1,uvs-1,csn-2,polk-1
