TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
PF00001	7tm_1	4.67970903400268e-33	-74.4420721330284	115	50	0.0721500721500721	693	12733	177450,183681,190990,191958,188774,182494,182647,184469,186430,176300,183595,177790,182942,175322,180643,3564903,180752,182110,180841,181820,189828,180970,187838,175470,181656,183552,175893,192055,185321,191134,181541,187113,179347,184568,175341,185662,182068,259744,180714,180565,184572,179571,179570,191160,179962,181075,185489,186965,184471,179301	R13H7.2,npr-35,npr-32,sro-1,ckr-1,npr-3,gnrr-2,octr-1,F57A8.4,npr-29,tkr-2,npr-2,frpr-3,ser-4,npr-16,sprr-1,npr-1,ser-2,gnrr-4,B0034.5,Y41D4B.24,tyra-2,frpr-16,npr-15,F59D12.1,C47E8.3,gar-2,tkr-1,npr-7,ZC266.1,frpr-17,frpr-14,dop-2,F16C3.1,ckr-2,npr-27,C01F1.4,ser-3,dop-1,ser-7,ser-5,dop-5,npr-25,npr-13,gar-3,C17H11.1,frpr-7,K03H6.5,ntr-2,C24B5.1
PF02931	Neur_chan_LBD	1.78226355373613e-24	-54.6841580160248	97	39	0.0562770562770563	693	12733	184752,187855,176910,178930,177799,188702,179269,3565200,179574,187632,186307,174733,172270,181155,181475,176691,176472,176694,191638,191636,184621,184265,191637,176104,191602,176778,182971,190686,191605,177409,180936,183758,191597,175279,179235,178554,172105,186551,191601	lgc-31,lgc-12,lgc-33,glc-3,acc-1,lgc-53,mod-1,deg-3,des-2,acr-20,acc-3,lgc-20,avr-14,lgc-4,acr-12,gab-1,unc-49,lgc-37,ggr-3,ggr-1,lgc-6,lgc-39,ggr-2,cup-4,acr-15,acc-4,glc-4,acr-24,acr-19,lgc-10,acr-2,acc-2,acr-9,lgc-46,acr-16,lgc-26,unc-38,lgc-30,acr-14
PF02932	Neur_chan_memb	4.21627181681657e-23	-51.5205058570228	72	33	0.0476190476190476	693	12733	176694,176472,176691,181475,191638,186307,187632,181155,172270,179269,3565200,188702,179574,187855,184752,178930,177799,172105,191601,175279,191597,183758,179235,191602,180936,191605,190686,182971,177409,176778,191637,184265,191636	lgc-37,unc-49,gab-1,acr-12,ggr-3,acc-3,acr-20,lgc-4,avr-14,mod-1,deg-3,lgc-53,des-2,lgc-12,lgc-31,glc-3,acc-1,unc-38,acr-14,lgc-46,acr-9,acc-2,acr-16,acr-15,acr-2,acr-19,acr-24,glc-4,lgc-10,acc-4,ggr-2,lgc-39,ggr-1
PF01581	FARP	8.11697813723219e-13	-27.8396482746014	13	11	0.0158730158730159	693	12733	172665,181221,180587,179327,180854,181104,181583,178498,174568,177737,177547	flp-22,flp-3,flp-18,flp-6,flp-7,flp-5,flp-8,flp-17,flp-4,flp-1,flp-13
PF00168	C2	7.26880560306856e-12	-25.6474291290677	40	17	0.0245310245310245	693	12733	172346,172497,180562,181274,184108,181166,174230,187273,177539,181615,179649,190698,175943,174120,182427,172382,180990	snt-4,unc-13,F54G2.1,plc-1,sue-1,pkc-2,syd-1,pll-1,cla-1,snt-7,pkc-1,snt-3,rbf-1,snt-1,snt-6,mctp-1,unc-10
PF07885	Ion_trans_2	4.82646949401477e-10	-21.451735683173	50	17	0.0245310245310245	693	12733	187626,180280,180163,189006,192073,192077,183736,172602,185227,3565024,185828,180252,185335,181332,181224,178358,185149	twk-49,kcnl-1,twk-42,twk-40,twk-7,twk-13,kcnl-4,kcnl-2,twk-47,twk-43,twk-29,twk-46,twk-30,slo-2,unc-58,egl-23,twk-35
PF13499	EF-hand_7	6.17054878298591e-07	-14.2983078732384	39	12	0.0173160173160173	693	12733	180603,179722,177945,186953,186916,182041,183642,186617,180753,184373,179572,182789	spc-1,E02A10.3,cal-4,ncs-3,K03A1.4,B0563.7,C50C3.5,chpf-2,F43C9.2,cal-8,cnb-1,cal-2
PF00060	Lig_chan	4.42532739275808e-06	-12.3281662951773	10	6	0.00865800865800866	693	12733	173929,174258,175999,179251,180002,176204	nmr-1,glr-4,glr-2,glr-5,nmr-2,glr-1
PF00042	Globin	7.98842654628724e-06	-11.7375167454529	21	8	0.0115440115440115	693	12733	187853,177008,186039,188594,189513,190384,172485,182985	glb-23,glb-7,glb-17,T19C4.5,glb-30,glb-32,glb-18,glb-9
PF00858	ASC	1.48823620477618e-05	-11.1153338013882	29	9	0.012987012987013	693	12733	181101,191422,189033,3564809,180219,177494,181728,182514,181035	mec-10,asic-1,del-4,egas-4,egas-1,unc-8,mec-4,del-8,deg-1
