TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
PS50235	USP_3	0.00187578065078338	-6.27873035912369	26	4	0.0273972602739726	146	7024	172782,178779,180175,175853	usp-48,T22F3.2,usp-50,cyk-3
PS00626	RCC1_2	0.0041182061176086	-5.49233761878587	5	2	0.0136986301369863	146	7024	171700,174332	herc-1,ran-3
PS50089	ZF_RING_2	0.0104547733050345	-4.56069662926015	145	8	0.0547945205479452	146	7024	178734,171893,174939,173308,178887,173144,259704,174148	Y45G12B.2,Y54E10A.11,Y38F1A.2,Y105E8A.14,tam-1,toe-4,spat-3,C52E12.1
PS50012	RCC1_3	0.0110674921334931	-4.50374310413365	8	2	0.0136986301369863	146	7024	171700,174332	herc-1,ran-3
PS50108	CRIB	0.0110674921334931	-4.50374310413365	8	2	0.0136986301369863	146	7024	175764,178218	F09F7.5,ark-1
PS01032	PPM_1	0.0110674921334931	-4.50374310413365	8	2	0.0136986301369863	146	7024	175233,175610	ppm-1.G,ppm-2
PS51855	MGS	0.0207858769931683	-3.87348151360652	1	1	0.00684931506849315	146	7024	174385	pyr-1
PS51859	RHO_BD	0.0207858769931683	-3.87348151360652	1	1	0.00684931506849315	146	7024	172088	let-502
PS00097	CARBAMOYLTRANSFERASE	0.0207858769931683	-3.87348151360652	1	1	0.00684931506849315	146	7024	174385	pyr-1
PS00544	METMALONYL_COA_MUTASE	0.0207858769931683	-3.87348151360652	1	1	0.00684931506849315	146	7024	175503	mmcm-1
PS00106	GALACTOKINASE	0.0207858769931683	-3.87348151360652	1	1	0.00684931506849315	146	7024	171755	tag-96
PS01099	COMPLEX1_24K	0.0207858769931683	-3.87348151360652	1	1	0.00684931506849315	146	7024	179850	F53F4.10
PS00483	DIHYDROOROTASE_2	0.0207858769931683	-3.87348151360652	1	1	0.00684931506849315	146	7024	174385	pyr-1
PS01287	RTC	0.0207858769931683	-3.87348151360652	1	1	0.00684931506849315	146	7024	174151	ZK1127.5
PS51869	APP_E1	0.0207858769931683	-3.87348151360652	1	1	0.00684931506849315	146	7024	180783	apl-1
PS00644	COMPLEX1_51K_1	0.0207858769931683	-3.87348151360652	1	1	0.00684931506849315	146	7024	174696	nuo-1
PS01257	RIBOSOMAL_L10E	0.0207858769931683	-3.87348151360652	1	1	0.00684931506849315	146	7024	174311	rpl-10
PS51443	PCS	0.0207858769931683	-3.87348151360652	1	1	0.00684931506849315	146	7024	174775	pcs-1
PS00645	COMPLEX1_51K_2	0.0207858769931683	-3.87348151360652	1	1	0.00684931506849315	146	7024	174696	nuo-1
PS01266	ADENYLOSUCCIN_SYN_1	0.0207858769931683	-3.87348151360652	1	1	0.00684931506849315	146	7024	178872	adss-1
PS51423	MIRO	0.0207858769931683	-3.87348151360652	1	1	0.00684931506849315	146	7024	177238	miro-1
PS00513	ADENYLOSUCCIN_SYN_2	0.0207858769931683	-3.87348151360652	1	1	0.00684931506849315	146	7024	178872	adss-1
PS00319	APP_CUBD	0.0207858769931683	-3.87348151360652	1	1	0.00684931506849315	146	7024	180783	apl-1
PS00320	APP_INTRA	0.0207858769931683	-3.87348151360652	1	1	0.00684931506849315	146	7024	180783	apl-1
PS00052	RIBOSOMAL_S7	0.0207858769931683	-3.87348151360652	1	1	0.00684931506849315	146	7024	178012	rps-5
PS01240	PNP_MTAP_2	0.0207858769931683	-3.87348151360652	1	1	0.00684931506849315	146	7024	174252	B0228.7
PS01233	UROCANASE	0.0207858769931683	-3.87348151360652	1	1	0.00684931506849315	146	7024	178460	Y51H4A.7
PS00627	GHMP_KINASES_ATP	0.0207858769931683	-3.87348151360652	1	1	0.00684931506849315	146	7024	171755	tag-96
PS00542	COMPLEX1_30K	0.0207858769931683	-3.87348151360652	1	1	0.00684931506849315	146	7024	172363	nuo-2
PS51620	SAM_TRM61	0.0207858769931683	-3.87348151360652	1	1	0.00684931506849315	146	7024	173142	W02A11.1
PS51858	PPPDE	0.0207858769931683	-3.87348151360652	1	1	0.00684931506849315	146	7024	179324	F36D4.5
PS51870	APP_E2	0.0207858769931683	-3.87348151360652	1	1	0.00684931506849315	146	7024	180783	apl-1
PS51029	MADF	0.0208701995017216	-3.86943299868037	11	2	0.0136986301369863	146	7024	175118,173019	madf-5,madf-2
PS51746	PPM_2	0.0208701995017216	-3.86943299868037	11	2	0.0136986301369863	146	7024	175610,175233	ppm-2,ppm-1.G
PS00518	ZF_RING_1	0.0250590138419056	-3.68652168216778	80	5	0.0342465753424658	146	7024	174939,174148,259704,173308,178887	Y38F1A.2,C52E12.1,spat-3,Y105E8A.14,tam-1
